,Rank,City,Apples (1kg)
0,,Albania,1.18
1,,Algeria,2.09
2,,Argentina,2.24
3,,Armenia,1.01
4,,Australia,4.02
5,,Austria,3.01
6,,Azerbaijan,2.48
7,,Bahrain,2.24
8,,Bangladesh,2.20
9,,Belarus,1.59
10,,Belgium,2.37
11,,Bosnia And Herzegovina,1.19
12,,Brazil,2.26
13,,Bulgaria,1.40
14,,Cambodia,3.75
15,,Canada,3.22
16,,Chile,1.37
17,,China,1.88
18,,Colombia,2.22
19,,Costa Rica,3.25
20,,Croatia,1.54
21,,Cyprus,2.77
22,,Czech Republic,1.50
23,,Denmark,3.41
24,,Dominican Republic,4.56
25,,Ecuador,1.85
26,,Egypt,1.97
27,,Estonia,1.62
28,,Finland,2.78
29,,France,3.26
30,,Georgia,0.82
31,,Germany,3.14
32,,Greece,1.83
33,,Hong Kong,3.34
34,,Hungary,1.22
35,,Iceland,3.52
36,,India,2.23
37,,Indonesia,3.05
38,,Iran,1.21
39,,Iraq,1.52
40,,Ireland,3.01
41,,Israel,2.54
42,,Italy,2.35
43,,Jamaica,3.12
44,,Japan,5.85
45,,Jordan,2.53
46,,Kazakhstan,1.67
47,,Kenya,2.72
48,,Kuwait,2.79
49,,Latvia,0.99
50,,Lebanon,1.92
51,,Lithuania,1.14
52,,Luxembourg,2.95
53,,Macedonia,0.77
54,,Malaysia,2.76
55,,Malta,2.84
56,,Mexico,2.55
57,,Morocco,1.52
58,,Nepal,1.63
59,,Netherlands,2.99
60,,New Zealand,3.03
61,,Nigeria,3.20
62,,Norway,3.90
63,,Oman,2.48
64,,Pakistan,1.31
65,,Panama,2.60
66,,Peru,1.96
67,,Philippines,2.62
68,,Poland,0.92
69,,Portugal,1.65
70,,Puerto Rico,3.79
71,,Qatar,2.21
72,,Romania,1.07
73,,Russia,1.76
74,,Saudi Arabia,1.87
75,,Serbia,1.01
76,,Singapore,3.10
77,,Slovakia,1.55
78,,Slovenia,1.66
79,,South Africa,1.67
80,,South Korea,5.87
81,,Spain,2.10
82,,Sri Lanka,2.97
83,,Sweden,3.18
84,,Switzerland,4.06
85,,Taiwan,3.00
86,,Thailand,2.83
87,,Trinidad And Tobago,2.82
88,,Tunisia,1.90
89,,Turkey,1.45
90,,Ukraine,0.99
91,,United Arab Emirates,2.83
92,,United Kingdom,3.06
93,,United States,3.92
94,,Uruguay,2.24
95,,Venezuela,6.20
96,,Vietnam,2.68
