,Rank,City,One-way Ticket (Local Transport)
0,,Albania,0.37
1,,Algeria,0.21
2,,Argentina,0.44
3,,Armenia,0.21
4,,Australia,3.17
5,,Austria,2.80
6,,Azerbaijan,0.18
7,,Bahamas,1.25
8,,Bahrain,0.79
9,,Bangladesh,0.39
10,,Belarus,0.30
11,,Belgium,2.45
12,,Belize,1.99
13,,Bolivia,0.29
14,,Bosnia And Herzegovina,1.08
15,,Brazil,1.07
16,,Bulgaria,0.96
17,,Cambodia,2.00
18,,Canada,2.51
19,,Chile,1.11
20,,China,0.31
21,,Colombia,0.80
22,,Costa Rica,0.71
23,,Croatia,1.11
24,,Cyprus,1.75
25,,Czech Republic,1.09
26,,Denmark,3.77
27,,Dominican Republic,0.50
28,,Ecuador,0.25
29,,Egypt,0.17
30,,El Salvador,0.25
31,,Estonia,1.75
32,,Fiji,0.49
33,,Finland,3.50
34,,France,1.99
35,,Georgia,0.20
36,,Germany,3.27
37,,Ghana,-
38,,Greece,1.63
39,,Guatemala,0.27
40,,Hong Kong,1.27
41,,Hungary,1.28
42,,Iceland,4.40
43,,India,0.30
44,,Indonesia,0.29
45,,Iran,0.22
46,,Iraq,0.42
47,,Ireland,3.04
48,,Israel,1.66
49,,Italy,1.75
50,,Jamaica,0.79
51,,Japan,1.83
52,,Jordan,0.70
53,,Kazakhstan,0.26
54,,Kenya,0.69
55,,Kosovo (Disputed Territory),0.47
56,,Kuwait,0.83
57,,Latvia,1.34
58,,Lebanon,1.33
59,,Lithuania,1.17
60,,Luxembourg,2.34
61,,Macedonia,0.66
62,,Malaysia,0.75
63,,Malta,1.75
64,,Mauritius,1.03
65,,Mexico,0.40
66,,Moldova,0.12
67,,Montenegro,1.05
68,,Morocco,0.53
69,,Namibia,0.87
70,,Nepal,0.19
71,,Netherlands,3.50
72,,New Zealand,2.45
73,,Nigeria,0.56
74,,Norway,4.27
75,,Oman,0.78
76,,Pakistan,0.17
77,,Panama,0.25
78,,Peru,0.46
79,,Philippines,0.19
80,,Poland,0.92
81,,Portugal,1.75
82,,Puerto Rico,1.50
83,,Qatar,1.37
84,,Romania,0.50
85,,Russia,0.58
86,,Saudi Arabia,0.80
87,,Serbia,0.88
88,,Singapore,1.27
89,,Slovakia,0.93
90,,Slovenia,1.40
91,,South Africa,1.18
92,,South Korea,1.16
93,,Spain,1.75
94,,Sri Lanka,0.13
95,,Sweden,3.40
96,,Switzerland,3.24
97,,Taiwan,0.67
98,,Tanzania,0.18
99,,Thailand,0.94
100,,Trinidad And Tobago,0.89
101,,Tunisia,0.20
102,,Turkey,0.59
103,,Uganda,0.53
104,,Ukraine,0.23
105,,United Arab Emirates,1.36
106,,United Kingdom,3.18
107,,United States,2.50
108,,Uruguay,1.16
109,,Uzbekistan,0.15
110,,Venezuela,0.10
111,,Vietnam,0.31
112,,Zimbabwe,0.62
