,Rank,City,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate"
0,,Albania,4.71
1,,Algeria,6.83
2,,Argentina,43.38
3,,Armenia,11.00
4,,Australia,3.39
5,,Austria,1.89
6,,Azerbaijan,8.92
7,,Bahrain,-
8,,Bangladesh,10.79
9,,Belarus,13.91
10,,Belgium,1.68
11,,Bolivia,7.80
12,,Bosnia And Herzegovina,3.48
13,,Brazil,8.97
14,,Bulgaria,3.58
15,,Cambodia,-
16,,Canada,2.93
17,,Chile,4.04
18,,China,5.13
19,,Colombia,11.25
20,,Costa Rica,8.66
21,,Croatia,3.68
22,,Cyprus,2.31
23,,Czech Republic,2.61
24,,Denmark,1.48
25,,Dominican Republic,13.04
26,,Ecuador,12.19
27,,Egypt,12.81
28,,Estonia,2.50
29,,Finland,1.25
30,,France,1.42
31,,Georgia,10.72
32,,Germany,1.74
33,,Ghana,-
34,,Greece,4.39
35,,Guatemala,7.82
36,,Hong Kong,2.55
37,,Hungary,4.83
38,,Iceland,3.99
39,,India,8.97
40,,Indonesia,9.99
41,,Iran,20.60
42,,Iraq,8.83
43,,Ireland,3.43
44,,Israel,3.58
45,,Italy,1.71
46,,Japan,1.39
47,,Jordan,7.91
48,,Kazakhstan,14.05
49,,Kenya,14.69
50,,Kosovo (Disputed Territory),4.31
51,,Kuwait,6.98
52,,Latvia,2.83
53,,Lebanon,7.62
54,,Lithuania,2.27
55,,Luxembourg,1.59
56,,Malaysia,4.28
57,,Malta,3.56
58,,Mauritius,-
59,,Mexico,11.09
60,,Moldova,8.75
61,,Montenegro,-
62,,Morocco,5.12
63,,Nepal,11.50
64,,Netherlands,2.02
65,,New Zealand,3.71
66,,Nigeria,20.80
67,,North Macedonia,5.15
68,,Norway,2.77
69,,Oman,4.57
70,,Pakistan,13.56
71,,Panama,5.61
72,,Peru,11.59
73,,Philippines,7.24
74,,Poland,4.80
75,,Portugal,2.06
76,,Puerto Rico,4.75
77,,Qatar,4.56
78,,Romania,5.98
79,,Russia,9.25
80,,Saudi Arabia,4.00
81,,Serbia,4.01
82,,Singapore,2.32
83,,Slovakia,1.36
84,,Slovenia,2.90
85,,South Africa,9.44
86,,South Korea,3.11
87,,Spain,2.25
88,,Sri Lanka,14.17
89,,Sweden,2.28
90,,Switzerland,1.31
91,,Syria,11.00
92,,Taiwan,1.72
93,,Tanzania,-
94,,Thailand,4.96
95,,Trinidad And Tobago,5.78
96,,Tunisia,9.55
97,,Turkey,14.09
98,,Uganda,-
99,,Ukraine,17.71
100,,United Arab Emirates,4.21
101,,United Kingdom,2.94
102,,United States,3.61
103,,Uruguay,7.10
104,,Uzbekistan,19.83
105,,Venezuela,18.42
106,,Vietnam,9.81
