,Rank,City,Monthly Pass (Regular Price)
0,,Albania,14.87
1,,Algeria,12.87
2,,Argentina,22.34
3,,Armenia,-
4,,Australia,113.23
5,,Austria,51.38
6,,Azerbaijan,10.57
7,,Bahamas,-
8,,Bahrain,37.06
9,,Bangladesh,14.22
10,,Belarus,17.35
11,,Belgium,57.22
12,,Belize,-
13,,Bolivia,-
14,,Bosnia And Herzegovina,29.89
15,,Brazil,52.10
16,,Bulgaria,29.86
17,,Cambodia,-
18,,Canada,77.17
19,,Chile,51.02
20,,China,20.33
21,,Colombia,34.79
22,,Costa Rica,-
23,,Croatia,56.93
24,,Cyprus,46.71
25,,Czech Republic,24.87
26,,Denmark,61.98
27,,Dominican Republic,38.36
28,,Ecuador,21.74
29,,Egypt,8.38
30,,El Salvador,20.00
31,,Estonia,26.86
32,,Fiji,-
33,,Finland,63.88
34,,France,80.53
35,,Georgia,12.14
36,,Germany,91.09
37,,Ghana,-
38,,Greece,35.03
39,,Guatemala,8.03
40,,Hong Kong,63.73
41,,Hungary,34.68
42,,Iceland,117.65
43,,India,11.90
44,,Indonesia,12.95
45,,Iran,11.77
46,,Iraq,30.00
47,,Ireland,140.14
48,,Israel,59.77
49,,Italy,40.87
50,,Jamaica,-
51,,Japan,91.65
52,,Jordan,42.28
53,,Kazakhstan,21.47
54,,Kenya,29.54
55,,Kosovo (Disputed Territory),14.01
56,,Kuwait,49.61
57,,Latvia,58.39
58,,Lebanon,50.00
59,,Lithuania,33.87
60,,Luxembourg,29.20
61,,Macedonia,26.55
62,,Malaysia,25.10
63,,Malta,30.36
64,,Mauritius,-
65,,Mexico,15.26
66,,Moldova,8.55
67,,Montenegro,32.70
68,,Morocco,15.80
69,,Namibia,-
70,,Nepal,8.35
71,,Netherlands,100.43
72,,New Zealand,104.90
73,,Nigeria,17.24
74,,Norway,89.89
75,,Oman,-
76,,Pakistan,6.92
77,,Panama,27.50
78,,Peru,30.54
79,,Philippines,8.08
80,,Poland,27.06
81,,Portugal,42.27
82,,Puerto Rico,30.00
83,,Qatar,27.46
84,,Romania,16.29
85,,Russia,32.05
86,,Saudi Arabia,39.99
87,,Serbia,29.67
88,,Singapore,74.67
89,,Slovakia,31.41
90,,Slovenia,43.21
91,,South Africa,39.39
92,,South Korea,51.14
93,,Spain,58.39
94,,Sri Lanka,6.33
95,,Sweden,95.16
96,,Switzerland,79.98
97,,Taiwan,42.88
98,,Tanzania,-
99,,Thailand,32.60
100,,Trinidad And Tobago,23.77
101,,Tunisia,11.73
102,,Turkey,44.16
103,,Uganda,-
104,,Ukraine,9.59
105,,United Arab Emirates,46.28
106,,United Kingdom,80.73
107,,United States,80.00
108,,Uruguay,48.23
109,,Uzbekistan,15.00
110,,Venezuela,2.59
111,,Vietnam,7.68
112,,Zimbabwe,30.00
