,Rank,City,"Fitness Club, Monthly Fee for 1 Adult"
0,,Argentina,31.67
1,,Australia,75.92
2,,Austria,75.62
3,,Belgium,67.90
4,,Bosnia And Herzegovina,27.78
5,,Brazil,56.37
6,,Bulgaria,35.23
7,,Canada,49.04
8,,Chile,46.33
9,,China,29.33
10,,Colombia,54.44
11,,Croatia,36.28
12,,Czech Republic,64.63
13,,Denmark,49.43
14,,Ecuador,45.00
15,,Egypt,31.67
16,,Estonia,49.31
17,,Finland,64.20
18,,France,74.07
19,,Germany,55.72
20,,Greece,54.87
21,,Hong Kong,101.41
22,,Hungary,37.56
23,,India,22.89
24,,Indonesia,40.84
25,,Iran,50.00
26,,Ireland,59.53
27,,Israel,78.80
28,,Italy,61.85
29,,Japan,49.35
30,,Jordan,41.53
31,,Kazakhstan,100.00
32,,Lithuania,53.63
33,,Malaysia,22.49
34,,Malta,45.27
35,,Mexico,55.61
36,,Morocco,101.83
37,,Netherlands,53.91
38,,New Zealand,50.09
39,,Norway,71.69
40,,Pakistan,15.65
41,,Panama,38.50
42,,Philippines,16.18
43,,Poland,33.33
44,,Portugal,61.11
45,,Puerto Rico,41.67
46,,Qatar,136.99
47,,Romania,34.01
48,,Russia,69.07
49,,Saudi Arabia,53.69
50,,Serbia,26.75
51,,Singapore,96.43
52,,Slovakia,61.73
53,,Slovenia,67.90
54,,South Africa,43.65
55,,South Korea,50.00
56,,Spain,51.87
57,,Sweden,46.14
58,,Switzerland,105.24
59,,Syria,15.33
60,,Taiwan,50.83
61,,Thailand,23.07
62,,Turkey,66.21
63,,Ukraine,50.00
64,,United Arab Emirates,73.95
65,,United Kingdom,56.71
66,,United States,38.79
67,,Vietnam,40.00
