,Rank,City,Cigarettes 20 Pack (Marlboro)
0,,Algeria,1.90
1,,Argentina,1.92
2,,Australia,18.27
3,,Austria,5.84
4,,Azerbaijan,2.55
5,,Bahrain,2.43
6,,Bangladesh,2.14
7,,Belarus,1.50
8,,Belgium,6.75
9,,Bosnia And Herzegovina,2.63
10,,Brazil,2.80
11,,Bulgaria,3.33
12,,Canada,10.48
13,,Chile,4.99
14,,China,2.45
15,,Colombia,1.89
16,,Costa Rica,2.94
17,,Croatia,4.15
18,,Cyprus,5.97
19,,Czech Republic,4.36
20,,Denmark,7.32
21,,Dominican Republic,3.20
22,,Ecuador,3.25
23,,Egypt,2.26
24,,Estonia,4.29
25,,Ethiopia,2.14
26,,Finland,7.14
27,,France,8.57
28,,Georgia,1.80
29,,Germany,6.49
30,,Ghana,-
31,,Greece,5.19
32,,Hong Kong,6.44
33,,Hungary,3.88
34,,Iceland,9.50
35,,India,2.12
36,,Indonesia,1.53
37,,Iran,3.00
38,,Iraq,2.15
39,,Ireland,12.08
40,,Israel,8.15
41,,Italy,6.49
42,,Jamaica,5.13
43,,Japan,4.38
44,,Jordan,2.11
45,,Kazakhstan,1.34
46,,Kenya,2.99
47,,Kuwait,2.24
48,,Latvia,4.07
49,,Lebanon,2.00
50,,Lithuania,3.58
51,,Luxembourg,-
52,,Macedonia,2.52
53,,Malaysia,3.45
54,,Malta,5.78
55,,Mexico,3.28
56,,Moldova,1.63
57,,Morocco,3.96
58,,Nepal,1.34
59,,Netherlands,7.79
60,,New Zealand,14.40
61,,Nigeria,1.28
62,,Norway,16.18
63,,Oman,2.37
64,,Pakistan,1.03
65,,Panama,4.50
66,,Peru,2.61
67,,Philippines,1.23
68,,Poland,3.95
69,,Portugal,5.58
70,,Puerto Rico,6.00
71,,Qatar,2.47
72,,Romania,4.15
73,,Russia,1.91
74,,Saudi Arabia,2.40
75,,Serbia,2.60
76,,Singapore,9.52
77,,Slovakia,4.29
78,,Slovenia,4.68
79,,South Africa,3.28
80,,South Korea,2.44
81,,Spain,6.04
82,,Sri Lanka,4.75
83,,Sweden,8.01
84,,Switzerland,8.33
85,,Syria,2.83
86,,Taiwan,3.00
87,,Tanzania,2.21
88,,Thailand,3.03
89,,Trinidad And Tobago,3.96
90,,Tunisia,3.07
91,,Turkey,4.76
92,,Ukraine,1.74
93,,United Arab Emirates,2.45
94,,United Kingdom,11.89
95,,United States,6.00
96,,Uruguay,4.06
97,,Venezuela,5.57
98,,Vietnam,1.12
