,Rank,City,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment"
0,,Albania,75.86
1,,Argentina,96.40
2,,Australia,203.34
3,,Austria,174.06
4,,Bahrain,42.50
5,,Bangladesh,36.76
6,,Belarus,26.68
7,,Belgium,172.60
8,,Bosnia And Herzegovina,137.76
9,,Brazil,102.45
10,,Bulgaria,89.58
11,,Cambodia,51.86
12,,Canada,160.04
13,,Chile,149.11
14,,China,48.12
15,,Colombia,102.79
16,,Costa Rica,67.66
17,,Croatia,197.06
18,,Cyprus,234.28
19,,Czech Republic,183.05
20,,Denmark,180.73
21,,Dominican Republic,140.32
22,,Ecuador,31.62
23,,Egypt,28.76
24,,Estonia,208.77
25,,Finland,117.45
26,,France,153.90
27,,Georgia,73.33
28,,Germany,189.89
29,,Greece,162.70
30,,Hong Kong,144.48
31,,Hungary,202.13
32,,Iceland,122.94
33,,India,37.28
34,,Indonesia,86.91
35,,Iran,65.64
36,,Iraq,148.43
37,,Ireland,183.52
38,,Israel,177.68
39,,Italy,184.56
40,,Japan,186.47
41,,Jordan,61.19
42,,Kazakhstan,111.01
43,,Kenya,60.68
44,,Kuwait,32.58
45,,Latvia,156.84
46,,Lebanon,175.76
47,,Lithuania,149.09
48,,Luxembourg,244.00
49,,Macedonia,167.77
50,,Malaysia,54.41
51,,Malta,128.40
52,,Mauritius,77.06
53,,Mexico,57.82
54,,Morocco,42.42
55,,Nepal,38.14
56,,Netherlands,200.94
57,,New Zealand,147.22
58,,Nigeria,108.27
59,,Norway,322.40
60,,Oman,38.16
61,,Pakistan,82.11
62,,Peru,66.98
63,,Philippines,94.32
64,,Poland,133.29
65,,Portugal,106.00
66,,Puerto Rico,267.75
67,,Qatar,86.54
68,,Romania,106.68
69,,Russia,135.98
70,,Saudi Arabia,59.95
71,,Serbia,135.95
72,,Singapore,184.49
73,,Slovakia,222.51
74,,Slovenia,259.87
75,,South Africa,122.04
76,,South Korea,135.32
77,,Spain,142.23
78,,Sri Lanka,63.78
79,,Sweden,94.49
80,,Switzerland,145.83
81,,Taiwan,66.21
82,,Tanzania,120.16
83,,Thailand,68.38
84,,Tunisia,102.96
85,,Turkey,112.20
86,,Ukraine,71.65
87,,United Arab Emirates,111.93
88,,United Kingdom,231.57
89,,United States,164.16
90,,Uruguay,142.55
91,,Venezuela,67.16
92,,Vietnam,67.69
