,Rank,City,Apples (1kg)
0,,Argentina,1.65
1,,Australia,4.06
2,,Austria,3.67
3,,Bangladesh,1.43
4,,Belgium,2.17
5,,Bosnia And Herzegovina,1.23
6,,Brazil,2.46
7,,Bulgaria,1.36
8,,Canada,2.80
9,,Chile,1.15
10,,China,1.40
11,,Colombia,1.71
12,,Costa Rica,2.75
13,,Croatia,1.53
14,,Cyprus,2.57
15,,Czech Republic,1.55
16,,Denmark,4.15
17,,Ecuador,1.00
18,,Egypt,1.83
19,,Estonia,1.51
20,,Finland,3.08
21,,France,3.39
22,,Germany,2.73
23,,Greece,2.21
24,,Hong Kong,2.85
25,,Hungary,1.60
26,,Iceland,2.78
27,,India,2.44
28,,Indonesia,2.06
29,,Iran,1.91
30,,Ireland,3.04
31,,Israel,2.91
32,,Italy,2.45
33,,Japan,6.07
34,,Jordan,2.07
35,,Latvia,1.72
36,,Lebanon,2.00
37,,Lithuania,1.94
38,,Macedonia,0.72
39,,Malaysia,2.64
40,,Malta,2.90
41,,Mexico,2.38
42,,Morocco,2.27
43,,Netherlands,2.70
44,,New Zealand,2.86
45,,Norway,4.39
46,,Pakistan,1.27
47,,Panama,2.18
48,,Peru,1.47
49,,Philippines,2.03
50,,Poland,1.27
51,,Portugal,1.94
52,,Puerto Rico,4.97
53,,Qatar,2.15
54,,Romania,1.35
55,,Russia,1.89
56,,Saudi Arabia,1.68
57,,Serbia,1.04
58,,Singapore,2.07
59,,Slovakia,1.49
60,,Slovenia,2.54
61,,South Africa,1.96
62,,South Korea,2.91
63,,Spain,2.34
64,,Sri Lanka,1.00
65,,Sweden,3.10
66,,Switzerland,4.45
67,,Syria,1.49
68,,Taiwan,2.65
69,,Thailand,2.01
70,,Tunisia,2.08
71,,Turkey,1.54
72,,Ukraine,1.00
73,,United Arab Emirates,1.99
74,,United Kingdom,2.62
75,,United States,3.18
76,,Uruguay,1.54
77,,Venezuela,-
78,,Vietnam,1.85
