,Rank,City,Potato (1kg)
0,,Albania,0.69
1,,Algeria,0.44
2,,Argentina,0.65
3,,Armenia,-
4,,Australia,2.32
5,,Austria,1.45
6,,Azerbaijan,0.52
7,,Bahrain,1.28
8,,Bangladesh,0.28
9,,Belarus,0.46
10,,Belgium,1.78
11,,Bolivia,-
12,,Bosnia And Herzegovina,0.64
13,,Brazil,0.98
14,,Brunei,-
15,,Bulgaria,0.68
16,,Cambodia,1.21
17,,Canada,2.10
18,,Chile,1.06
19,,China,0.83
20,,Colombia,0.68
21,,Costa Rica,1.97
22,,Croatia,0.86
23,,Cyprus,1.16
24,,Czech Republic,0.95
25,,Denmark,1.84
26,,Dominican Republic,1.28
27,,Ecuador,1.16
28,,Egypt,0.47
29,,El Salvador,-
30,,Estonia,0.59
31,,Ethiopia,0.60
32,,Finland,0.99
33,,France,2.24
34,,Georgia,0.46
35,,Germany,1.61
36,,Greece,1.01
37,,Guatemala,-
38,,Honduras,-
39,,Hong Kong,2.00
40,,Hungary,0.89
41,,Iceland,2.30
42,,India,0.35
43,,Indonesia,1.17
44,,Iran,0.76
45,,Iraq,0.67
46,,Ireland,1.75
47,,Israel,1.29
48,,Italy,1.31
49,,Jamaica,2.64
50,,Japan,3.09
51,,Jordan,0.89
52,,Kazakhstan,0.42
53,,Kenya,1.15
54,,Kosovo (Disputed Territory),-
55,,Kuwait,0.91
56,,Latvia,0.48
57,,Lebanon,0.98
58,,Lithuania,0.53
59,,Luxembourg,-
60,,Macedonia,0.56
61,,Malaysia,0.76
62,,Malta,2.35
63,,Mauritius,-
64,,Mexico,1.10
65,,Moldova,0.70
66,,Montenegro,0.66
67,,Morocco,0.47
68,,Namibia,-
69,,Nepal,0.38
70,,Netherlands,1.74
71,,New Zealand,2.04
72,,Nigeria,1.72
73,,Norway,2.40
74,,Oman,1.30
75,,Pakistan,0.25
76,,Palestinian Territory,0.92
77,,Panama,1.94
78,,Peru,0.93
79,,Philippines,1.58
80,,Poland,0.65
81,,Portugal,1.05
82,,Puerto Rico,3.96
83,,Qatar,1.11
84,,Romania,0.67
85,,Russia,0.51
86,,Saudi Arabia,0.96
87,,Serbia,0.62
88,,Singapore,2.28
89,,Slovakia,0.99
90,,Slovenia,0.88
91,,South Africa,1.10
92,,South Korea,3.76
93,,Spain,1.15
94,,Sri Lanka,0.88
95,,Sweden,1.31
96,,Switzerland,2.62
97,,Taiwan,2.56
98,,Thailand,1.28
99,,Trinidad And Tobago,-
100,,Tunisia,0.54
101,,Turkey,0.68
102,,Uganda,-
103,,Ukraine,0.47
104,,United Arab Emirates,1.01
105,,United Kingdom,1.48
106,,United States,2.58
107,,Uruguay,1.50
108,,Uzbekistan,0.34
109,,Venezuela,0.98
110,,Vietnam,1.04
