,Rank,City,Eggs (regular) (12)
0,,Albania,1.86
1,,Algeria,1.14
2,,Argentina,1.69
3,,Armenia,1.52
4,,Australia,3.23
5,,Austria,3.21
6,,Azerbaijan,1.25
7,,Bahrain,2.56
8,,Bangladesh,1.25
9,,Belarus,1.26
10,,Belgium,2.82
11,,Bolivia,1.53
12,,Bosnia And Herzegovina,1.69
13,,Brazil,1.34
14,,Bulgaria,1.79
15,,Cambodia,1.73
16,,Canada,2.54
17,,Chile,2.68
18,,China,1.76
19,,Colombia,1.42
20,,Costa Rica,2.57
21,,Croatia,2.68
22,,Cyprus,2.91
23,,Czech Republic,1.79
24,,Denmark,3.89
25,,Dominican Republic,1.58
26,,Ecuador,1.75
27,,Egypt,1.13
28,,Estonia,1.74
29,,Finland,2.40
30,,France,3.51
31,,Georgia,1.38
32,,Germany,2.59
33,,Ghana,1.75
34,,Greece,3.63
35,,Guatemala,1.84
36,,Hong Kong,3.64
37,,Hungary,1.85
38,,Iceland,5.18
39,,India,0.90
40,,Indonesia,1.58
41,,Iran,1.97
42,,Iraq,1.78
43,,Ireland,3.30
44,,Israel,3.68
45,,Italy,3.30
46,,Japan,2.20
47,,Jordan,1.70
48,,Kazakhstan,1.12
49,,Kenya,1.43
50,,Kosovo (Disputed Territory),1.25
51,,Kuwait,1.75
52,,Latvia,2.06
53,,Lebanon,5.73
54,,Lithuania,1.73
55,,Luxembourg,3.67
56,,Malaysia,1.44
57,,Malta,2.66
58,,Mauritius,2.05
59,,Mexico,1.46
60,,Moldova,1.32
61,,Montenegro,1.75
62,,Morocco,1.22
63,,Nepal,1.36
64,,Netherlands,2.89
65,,New Zealand,3.54
66,,Nigeria,1.33
67,,North Macedonia,1.63
68,,Norway,4.06
69,,Oman,2.44
70,,Pakistan,0.87
71,,Panama,2.03
72,,Peru,1.82
73,,Philippines,1.80
74,,Poland,2.07
75,,Portugal,2.00
76,,Puerto Rico,3.08
77,,Qatar,3.09
78,,Romania,2.31
79,,Russia,1.20
80,,Saudi Arabia,2.02
81,,Serbia,1.53
82,,Singapore,2.20
83,,Slovakia,2.10
84,,Slovenia,2.38
85,,South Africa,1.72
86,,South Korea,2.73
87,,Spain,2.26
88,,Sri Lanka,1.32
89,,Sweden,3.10
90,,Switzerland,5.87
91,,Syria,2.54
92,,Taiwan,2.20
93,,Tanzania,1.81
94,,Thailand,1.72
95,,Trinidad And Tobago,3.12
96,,Tunisia,1.01
97,,Turkey,1.60
98,,Uganda,1.41
99,,Ukraine,1.07
100,,United Arab Emirates,2.64
101,,United Kingdom,2.53
102,,United States,2.36
103,,Uruguay,2.35
104,,Uzbekistan,1.24
105,,Venezuela,1.80
106,,Vietnam,1.41
