,Rank,City,1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans)
0,,Albania,0.19
1,,Argentina,0.43
2,,Australia,0.70
3,,Austria,0.12
4,,Bahrain,0.08
5,,Bangladesh,0.02
6,,Belarus,0.03
7,,Belgium,0.30
8,,Bosnia And Herzegovina,0.14
9,,Brazil,0.58
10,,Bulgaria,0.21
11,,Cambodia,0.12
12,,Canada,0.28
13,,Chile,0.30
14,,China,0.07
15,,Colombia,0.15
16,,Costa Rica,0.08
17,,Croatia,0.15
18,,Cyprus,0.09
19,,Czech Republic,0.25
20,,Denmark,0.14
21,,Dominican Republic,0.19
22,,Ecuador,0.20
23,,Egypt,0.04
24,,Estonia,0.07
25,,Finland,0.09
26,,France,0.30
27,,Georgia,0.16
28,,Germany,0.12
29,,Greece,0.43
30,,Hong Kong,0.03
31,,Hungary,0.15
32,,Iceland,0.13
33,,India,0.02
34,,Indonesia,0.13
35,,Iran,0.06
36,,Iraq,0.09
37,,Ireland,0.30
38,,Israel,0.12
39,,Italy,0.20
40,,Japan,0.74
41,,Jordan,0.07
42,,Kazakhstan,0.09
43,,Kenya,0.04
44,,Kuwait,0.14
45,,Latvia,0.11
46,,Lebanon,0.37
47,,Lithuania,0.08
48,,Luxembourg,0.15
49,,Macedonia,0.12
50,,Malaysia,0.09
51,,Malta,0.44
52,,Mauritius,0.06
53,,Mexico,0.25
54,,Morocco,0.34
55,,Nepal,0.04
56,,Netherlands,0.27
57,,New Zealand,0.59
58,,Nigeria,0.21
59,,Norway,0.15
60,,Oman,0.11
61,,Pakistan,0.03
62,,Peru,0.19
63,,Philippines,0.16
64,,Poland,0.09
65,,Portugal,0.28
66,,Puerto Rico,0.19
67,,Qatar,0.16
68,,Romania,0.20
69,,Russia,0.05
70,,Saudi Arabia,0.13
71,,Serbia,0.12
72,,Singapore,0.12
73,,Slovakia,0.17
74,,Slovenia,0.16
75,,South Africa,0.23
76,,South Korea,0.21
77,,Spain,0.21
78,,Sri Lanka,0.02
79,,Sweden,0.16
80,,Switzerland,0.40
81,,Taiwan,0.13
82,,Tanzania,0.13
83,,Thailand,0.06
84,,Tunisia,0.10
85,,Turkey,0.20
86,,Ukraine,0.08
87,,United Arab Emirates,0.10
88,,United Kingdom,0.24
89,,United States,0.16
90,,Uruguay,0.45
91,,Venezuela,0.31
92,,Vietnam,0.08
