,Rank,City,One-way Ticket (Local Transport)
0,,Albania,0.33
1,,Algeria,0.18
2,,Argentina,0.47
3,,Armenia,0.21
4,,Australia,2.98
5,,Austria,2.50
6,,Azerbaijan,0.13
7,,Bahrain,0.80
8,,Bangladesh,0.38
9,,Belarus,0.25
10,,Belgium,2.38
11,,Bolivia,0.29
12,,Bosnia And Herzegovina,0.93
13,,Brazil,1.10
14,,Bulgaria,0.93
15,,Cambodia,2.00
16,,Canada,2.50
17,,Chile,1.03
18,,China,0.30
19,,Colombia,0.68
20,,Costa Rica,0.83
21,,Croatia,1.51
22,,Cyprus,1.70
23,,Czech Republic,1.01
24,,Denmark,3.51
25,,Dominican Republic,0.54
26,,Ecuador,0.25
27,,Egypt,0.23
28,,El Salvador,0.25
29,,Estonia,1.82
30,,Finland,3.41
31,,France,1.93
32,,Georgia,0.24
33,,Germany,3.07
34,,Greece,1.59
35,,Guatemala,0.16
36,,Hong Kong,1.29
37,,Hungary,1.28
38,,Iceland,3.43
39,,India,0.30
40,,Indonesia,0.30
41,,Iran,0.17
42,,Iraq,0.47
43,,Ireland,2.95
44,,Israel,1.54
45,,Italy,1.70
46,,Jamaica,0.80
47,,Japan,1.86
48,,Jordan,0.71
49,,Kazakhstan,0.24
50,,Kenya,0.69
51,,Kosovo (Disputed Territory),0.45
52,,Kuwait,0.83
53,,Latvia,1.31
54,,Lebanon,1.33
55,,Lithuania,1.14
56,,Luxembourg,2.27
57,,Macedonia,0.65
58,,Malaysia,0.68
59,,Malta,1.70
60,,Mauritius,0.93
61,,Mexico,0.38
62,,Moldova,0.15
63,,Montenegro,0.79
64,,Morocco,0.52
65,,Nepal,0.19
66,,Netherlands,3.29
67,,New Zealand,2.53
68,,Nigeria,0.60
69,,Norway,4.00
70,,Oman,0.91
71,,Pakistan,0.19
72,,Panama,0.35
73,,Peru,0.45
74,,Philippines,0.17
75,,Poland,0.89
76,,Portugal,1.70
77,,Puerto Rico,1.50
78,,Qatar,1.37
79,,Romania,0.50
80,,Russia,0.46
81,,Saudi Arabia,0.53
82,,Serbia,0.82
83,,Singapore,1.33
84,,Slovakia,0.85
85,,Slovenia,1.36
86,,South Africa,0.82
87,,South Korea,1.08
88,,Spain,1.70
89,,Sri Lanka,0.10
90,,Sweden,3.44
91,,Switzerland,3.41
92,,Taiwan,0.62
93,,Thailand,0.57
94,,Trinidad And Tobago,0.90
95,,Tunisia,0.24
96,,Turkey,0.81
97,,Ukraine,0.16
98,,United Arab Emirates,1.36
99,,United Kingdom,3.49
100,,United States,2.25
101,,Uruguay,0.91
102,,Venezuela,0.10
103,,Vietnam,0.27
104,,Zimbabwe,0.50
