,Rank,City,Water (0.33 liter bottle)
0,,Albania,0.48
1,,Algeria,0.23
2,,Argentina,1.33
3,,Armenia,0.36
4,,Australia,1.96
5,,Austria,2.13
6,,Azerbaijan,0.22
7,,Bahrain,0.27
8,,Bangladesh,0.18
9,,Belarus,0.45
10,,Belgium,2.19
11,,Bolivia,0.69
12,,Bosnia And Herzegovina,0.67
13,,Brazil,0.78
14,,Bulgaria,0.56
15,,Cambodia,0.35
16,,Canada,1.26
17,,Chile,0.95
18,,China,0.32
19,,Colombia,0.68
20,,Costa Rica,1.25
21,,Croatia,1.41
22,,Cyprus,0.90
23,,Czech Republic,0.94
24,,Denmark,2.33
25,,Dominican Republic,0.40
26,,Ecuador,0.52
27,,Egypt,0.16
28,,Estonia,1.04
29,,Finland,1.58
30,,France,1.74
31,,Georgia,0.22
32,,Germany,1.94
33,,Greece,0.56
34,,Guatemala,0.70
35,,Hong Kong,0.86
36,,Hungary,0.66
37,,Iceland,2.19
38,,India,0.22
39,,Indonesia,0.25
40,,Iran,0.21
41,,Iraq,0.22
42,,Ireland,1.49
43,,Israel,2.04
44,,Italy,1.11
45,,Jamaica,0.68
46,,Japan,0.98
47,,Jordan,0.42
48,,Kazakhstan,0.35
49,,Kenya,0.51
50,,Kosovo (Disputed Territory),0.62
51,,Kuwait,0.44
52,,Latvia,0.70
53,,Lebanon,0.37
54,,Lithuania,0.98
55,,Luxembourg,2.31
56,,Macedonia,0.68
57,,Malaysia,0.30
58,,Malta,1.01
59,,Mauritius,0.56
60,,Mexico,0.54
61,,Moldova,0.45
62,,Montenegro,0.98
63,,Morocco,0.33
64,,Nepal,0.22
65,,Netherlands,2.05
66,,New Zealand,1.86
67,,Nigeria,0.26
68,,Norway,2.85
69,,Oman,0.27
70,,Pakistan,0.27
71,,Panama,1.01
72,,Peru,0.45
73,,Philippines,0.35
74,,Poland,0.77
75,,Portugal,0.98
76,,Puerto Rico,1.12
77,,Qatar,0.39
78,,Romania,0.97
79,,Russia,0.56
80,,Saudi Arabia,0.23
81,,Serbia,0.72
82,,Singapore,0.92
83,,Slovakia,1.12
84,,Slovenia,1.51
85,,South Africa,0.75
86,,South Korea,0.74
87,,Spain,1.26
88,,Sri Lanka,0.30
89,,Sweden,1.99
90,,Switzerland,3.31
91,,Taiwan,0.63
92,,Tanzania,0.31
93,,Thailand,0.30
94,,Trinidad And Tobago,0.71
95,,Tunisia,0.21
96,,Turkey,0.30
97,,Ukraine,0.31
98,,United Arab Emirates,0.35
99,,United Kingdom,1.16
100,,United States,1.45
101,,Uruguay,1.13
102,,Venezuela,0.29
103,,Vietnam,0.29
104,,Zimbabwe,0.81
