,Rank,City,Coke/Pepsi (0.33 liter bottle)
0,,Albania,0.83
1,,Algeria,0.53
2,,Argentina,1.49
3,,Armenia,0.56
4,,Australia,2.37
5,,Austria,2.94
6,,Azerbaijan,0.41
7,,Bahrain,0.49
8,,Bangladesh,0.35
9,,Belarus,0.59
10,,Belgium,2.45
11,,Bolivia,1.02
12,,Bosnia And Herzegovina,1.33
13,,Brazil,1.14
14,,Bulgaria,0.90
15,,Cambodia,0.75
16,,Canada,1.52
17,,Chile,1.22
18,,China,0.50
19,,Colombia,0.71
20,,Costa Rica,1.51
21,,Croatia,1.95
22,,Cyprus,1.64
23,,Czech Republic,1.17
24,,Denmark,3.11
25,,Dominican Republic,0.83
26,,Ecuador,0.81
27,,Egypt,0.40
28,,El Salvador,0.66
29,,Estonia,1.71
30,,Finland,2.56
31,,France,2.86
32,,Georgia,0.49
33,,Germany,2.36
34,,Greece,1.57
35,,Guatemala,0.95
36,,Hong Kong,1.06
37,,Hungary,0.94
38,,Iceland,2.47
39,,India,0.41
40,,Indonesia,0.54
41,,Iran,0.46
42,,Iraq,0.45
43,,Ireland,1.75
44,,Israel,2.22
45,,Italy,2.25
46,,Jamaica,0.96
47,,Japan,1.20
48,,Jordan,0.53
49,,Kazakhstan,0.42
50,,Kenya,0.52
51,,Kosovo (Disputed Territory),1.11
52,,Kuwait,0.52
53,,Latvia,1.10
54,,Lebanon,0.68
55,,Lithuania,1.13
56,,Luxembourg,2.47
57,,Macedonia,1.09
58,,Malaysia,0.57
59,,Malta,1.84
60,,Mauritius,0.84
61,,Mexico,0.63
62,,Moldova,0.64
63,,Montenegro,1.65
64,,Morocco,0.58
65,,Nepal,0.39
66,,Netherlands,2.52
67,,New Zealand,2.18
68,,Nigeria,0.49
69,,Norway,3.66
70,,Oman,0.48
71,,Pakistan,0.36
72,,Panama,1.06
73,,Peru,0.77
74,,Philippines,0.53
75,,Poland,0.97
76,,Portugal,1.34
77,,Puerto Rico,1.13
78,,Qatar,0.52
79,,Romania,1.16
80,,Russia,0.69
81,,Saudi Arabia,0.41
82,,Serbia,1.20
83,,Singapore,1.28
84,,Slovakia,1.46
85,,Slovenia,2.23
86,,South Africa,0.75
87,,South Korea,1.30
88,,Spain,1.87
89,,Sri Lanka,0.57
90,,Sweden,2.33
91,,Switzerland,4.13
92,,Taiwan,0.89
93,,Thailand,0.53
94,,Trinidad And Tobago,0.95
95,,Tunisia,0.55
96,,Turkey,0.88
97,,Ukraine,0.41
98,,United Arab Emirates,0.47
99,,United Kingdom,1.69
100,,United States,1.74
101,,Uruguay,1.31
102,,Venezuela,0.82
103,,Vietnam,0.47
104,,Zimbabwe,0.70
