,Rank,City,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)"
0,,Albania,18.77
1,,Algeria,39.27
2,,Argentina,48.05
3,,Armenia,12.90
4,,Australia,54.91
5,,Austria,27.07
6,,Azerbaijan,13.54
7,,Bahrain,47.00
8,,Bangladesh,22.45
9,,Belarus,12.02
10,,Belgium,46.28
11,,Bolivia,69.28
12,,Bosnia And Herzegovina,19.83
13,,Brazil,33.29
14,,Bulgaria,9.76
15,,Cambodia,27.27
16,,Canada,50.67
17,,Chile,39.74
18,,China,14.35
19,,Colombia,31.35
20,,Costa Rica,52.85
21,,Croatia,24.84
22,,Cyprus,41.92
23,,Czech Republic,18.76
24,,Denmark,35.43
25,,Dominican Republic,44.55
26,,Ecuador,35.87
27,,Egypt,18.62
28,,Estonia,22.57
29,,Finland,22.41
30,,France,29.55
31,,Georgia,14.63
32,,Germany,30.68
33,,Greece,26.54
34,,Guatemala,51.08
35,,Hong Kong,25.24
36,,Hungary,15.13
37,,Iceland,62.94
38,,India,17.11
39,,Indonesia,29.08
40,,Iran,57.40
41,,Iraq,41.03
42,,Ireland,52.81
43,,Israel,24.77
44,,Italy,29.80
45,,Jamaica,50.91
46,,Japan,37.75
47,,Jordan,49.50
48,,Kazakhstan,12.34
49,,Kenya,50.06
50,,Kosovo (Disputed Territory),9.94
51,,Kuwait,25.33
52,,Latvia,15.38
53,,Lebanon,48.05
54,,Lithuania,11.49
55,,Luxembourg,50.38
56,,Macedonia,15.41
57,,Malaysia,39.24
58,,Malta,32.04
59,,Mauritius,42.81
60,,Mexico,24.66
61,,Moldova,8.91
62,,Montenegro,27.52
63,,Morocco,25.84
64,,Nepal,18.38
65,,Netherlands,40.13
66,,New Zealand,61.08
67,,Nigeria,63.88
68,,Norway,49.18
69,,Oman,60.49
70,,Pakistan,28.80
71,,Panama,45.78
72,,Peru,43.70
73,,Philippines,43.57
74,,Poland,13.22
75,,Portugal,32.17
76,,Puerto Rico,55.77
77,,Qatar,71.60
78,,Romania,8.35
79,,Russia,7.65
80,,Saudi Arabia,57.59
81,,Serbia,16.66
82,,Singapore,34.07
83,,Slovakia,16.51
84,,Slovenia,34.15
85,,South Africa,64.75
86,,South Korea,21.68
87,,Spain,42.79
88,,Sri Lanka,16.52
89,,Sweden,31.73
90,,Switzerland,59.71
91,,Taiwan,24.38
92,,Tanzania,-
93,,Thailand,20.13
94,,Trinidad And Tobago,37.40
95,,Tunisia,18.24
96,,Turkey,18.63
97,,Ukraine,3.99
98,,United Arab Emirates,95.26
99,,United Kingdom,33.97
100,,United States,59.66
101,,Uruguay,35.61
102,,Venezuela,3.00
103,,Vietnam,10.85
104,,Zimbabwe,69.12
