,Rank,City,Eggs (regular) (12)
0,,Albania,1.34
1,,Argentina,2.25
2,,Australia,4.08
3,,Austria,3.74
4,,Bahrain,1.87
5,,Bangladesh,1.42
6,,Belarus,1.36
7,,Belgium,2.63
8,,Bosnia And Herzegovina,1.97
9,,Brazil,1.78
10,,Bulgaria,2.01
11,,Cambodia,1.34
12,,Canada,3.03
13,,Chile,2.60
14,,China,2.01
15,,Colombia,2.32
16,,Costa Rica,2.50
17,,Croatia,2.45
18,,Cyprus,4.60
19,,Czech Republic,1.97
20,,Denmark,3.73
21,,Dominican Republic,1.96
22,,Ecuador,1.87
23,,Egypt,1.73
24,,Estonia,1.71
25,,Finland,2.65
26,,France,3.48
27,,Georgia,2.18
28,,Germany,2.42
29,,Greece,3.98
30,,Hong Kong,3.19
31,,Hungary,2.21
32,,Iceland,3.47
33,,India,0.79
34,,Indonesia,1.58
35,,Iran,2.42
36,,Iraq,1.85
37,,Ireland,3.39
38,,Israel,3.37
39,,Italy,3.06
40,,Japan,2.64
41,,Jordan,2.58
42,,Kazakhstan,1.84
43,,Kenya,1.82
44,,Kuwait,1.86
45,,Latvia,1.98
46,,Lebanon,2.71
47,,Lithuania,2.14
48,,Luxembourg,3.65
49,,Macedonia,1.69
50,,Malaysia,1.46
51,,Malta,2.64
52,,Mauritius,2.24
53,,Mexico,1.55
54,,Morocco,1.44
55,,Nepal,1.35
56,,Netherlands,2.42
57,,New Zealand,3.37
58,,Nigeria,3.09
59,,Norway,5.05
60,,Oman,2.96
61,,Pakistan,1.01
62,,Peru,1.66
63,,Philippines,1.50
64,,Poland,2.08
65,,Portugal,2.19
66,,Puerto Rico,2.43
67,,Qatar,2.36
68,,Romania,2.31
69,,Russia,1.43
70,,Saudi Arabia,1.90
71,,Serbia,1.65
72,,Singapore,1.90
73,,Slovakia,2.24
74,,Slovenia,2.44
75,,South Africa,2.14
76,,South Korea,2.74
77,,Spain,1.95
78,,Sri Lanka,1.26
79,,Sweden,3.15
80,,Switzerland,5.62
81,,Taiwan,1.30
82,,Tanzania,2.11
83,,Thailand,1.62
84,,Tunisia,0.99
85,,Turkey,2.13
86,,Ukraine,1.41
87,,United Arab Emirates,2.38
88,,United Kingdom,3.19
89,,United States,2.15
90,,Uruguay,2.35
91,,Venezuela,3.65
92,,Vietnam,1.38
