,Rank,City,Apartment (3 bedrooms) Outside of Centre
0,,Albania,303.98
1,,Argentina,701.09
2,,Australia,2049.12
3,,Austria,1134.26
4,,Bahrain,1008.11
5,,Bangladesh,253.02
6,,Belarus,560.00
7,,Belgium,994.39
8,,Bosnia And Herzegovina,239.63
9,,Brazil,763.70
10,,Bulgaria,335.70
11,,Cambodia,304.00
12,,Canada,1279.98
13,,Chile,733.94
14,,China,886.96
15,,Colombia,616.48
16,,Costa Rica,830.00
17,,Croatia,414.10
18,,Cyprus,740.74
19,,Czech Republic,565.15
20,,Denmark,1549.50
21,,Dominican Republic,409.82
22,,Ecuador,400.00
23,,Egypt,404.17
24,,Estonia,458.85
25,,Finland,1115.97
26,,France,1172.84
27,,Georgia,730.48
28,,Germany,1046.29
29,,Greece,577.66
30,,Hong Kong,2783.08
31,,Hungary,333.79
32,,Iceland,1687.39
33,,India,244.41
34,,Indonesia,349.13
35,,Iran,670.50
36,,Iraq,716.67
37,,Ireland,1135.80
38,,Israel,1024.16
39,,Italy,1003.50
40,,Japan,1605.53
41,,Jordan,514.10
42,,Kazakhstan,764.28
43,,Kenya,670.43
44,,Kuwait,1266.46
45,,Latvia,463.72
46,,Lebanon,1058.57
47,,Lithuania,401.82
48,,Luxembourg,2047.33
49,,Macedonia,291.38
50,,Malaysia,492.14
51,,Malta,592.59
52,,Mauritius,1309.17
53,,Mexico,419.52
54,,Morocco,401.66
55,,Nepal,93.06
56,,Netherlands,1307.19
57,,New Zealand,1385.45
58,,Nigeria,592.18
59,,Norway,2045.14
60,,Oman,1099.21
61,,Pakistan,185.02
62,,Peru,507.89
63,,Philippines,315.09
64,,Poland,591.85
65,,Portugal,730.97
66,,Puerto Rico,650.00
67,,Qatar,2810.25
68,,Romania,400.69
69,,Russia,928.08
70,,Saudi Arabia,575.43
71,,Serbia,339.08
72,,Singapore,2836.30
73,,Slovakia,686.83
74,,Slovenia,808.08
75,,South Africa,788.85
76,,South Korea,1021.38
77,,Spain,864.03
78,,Sri Lanka,594.15
79,,Sweden,1001.38
80,,Switzerland,2250.00
81,,Taiwan,553.13
82,,Tanzania,518.93
83,,Thailand,540.75
84,,Tunisia,356.32
85,,Turkey,448.12
86,,Ukraine,512.64
87,,United Arab Emirates,1964.76
88,,United Kingdom,1382.93
89,,United States,1271.41
90,,Uruguay,797.38
91,,Venezuela,1205.31
92,,Vietnam,624.69
