,Rank,City,1 Pair of Nike Running Shoes (Mid-Range)
0,,Albania,64.32
1,,Algeria,71.36
2,,Argentina,121.90
3,,Armenia,87.43
4,,Australia,99.60
5,,Austria,98.78
6,,Azerbaijan,79.25
7,,Bahrain,76.70
8,,Bangladesh,69.89
9,,Belarus,88.47
10,,Belgium,100.34
11,,Bolivia,87.68
12,,Bosnia And Herzegovina,73.46
13,,Brazil,93.55
14,,Bulgaria,72.03
15,,Cambodia,93.00
16,,Canada,78.66
17,,Chile,65.39
18,,China,97.67
19,,Colombia,79.35
20,,Costa Rica,97.69
21,,Croatia,81.39
22,,Cyprus,84.60
23,,Czech Republic,72.95
24,,Denmark,115.42
25,,Dominican Republic,107.69
26,,Ecuador,113.26
27,,Egypt,88.83
28,,El Salvador,85.91
29,,Estonia,79.78
30,,Finland,98.26
31,,France,95.48
32,,Georgia,72.72
33,,Germany,95.38
34,,Greece,89.63
35,,Guatemala,91.55
36,,Hong Kong,83.22
37,,Hungary,81.32
38,,Iceland,179.37
39,,India,48.61
40,,Indonesia,66.09
41,,Iran,103.21
42,,Iraq,56.11
43,,Ireland,91.21
44,,Israel,113.16
45,,Italy,94.59
46,,Jamaica,48.52
47,,Japan,74.57
48,,Jordan,92.26
49,,Kazakhstan,69.63
50,,Kenya,49.05
51,,Kosovo (Disputed Territory),33.11
52,,Kuwait,87.20
53,,Latvia,77.98
54,,Lebanon,112.81
55,,Lithuania,89.30
56,,Luxembourg,87.98
57,,Macedonia,69.80
58,,Malaysia,68.55
59,,Malta,89.20
60,,Mauritius,85.67
61,,Mexico,65.77
62,,Moldova,73.95
63,,Montenegro,76.63
64,,Morocco,66.95
65,,Nepal,43.23
66,,Netherlands,101.01
67,,New Zealand,102.05
68,,Nigeria,43.48
69,,Norway,113.36
70,,Oman,75.95
71,,Pakistan,53.49
72,,Panama,80.86
73,,Peru,76.06
74,,Philippines,80.01
75,,Poland,71.52
76,,Portugal,79.37
77,,Puerto Rico,75.00
78,,Qatar,91.89
79,,Romania,69.99
80,,Russia,76.81
81,,Saudi Arabia,82.03
82,,Serbia,73.84
83,,Singapore,90.15
84,,Slovakia,71.07
85,,Slovenia,88.75
86,,South Africa,70.39
87,,South Korea,84.11
88,,Spain,83.00
89,,Sri Lanka,50.80
90,,Sweden,110.59
91,,Switzerland,128.94
92,,Taiwan,80.75
93,,Thailand,78.05
94,,Trinidad And Tobago,96.66
95,,Tunisia,71.85
96,,Turkey,72.63
97,,Ukraine,87.96
98,,United Arab Emirates,94.16
99,,United Kingdom,87.13
100,,United States,74.15
101,,Uruguay,105.27
102,,Venezuela,104.59
103,,Vietnam,80.25
104,,Zimbabwe,62.86
