,Rank,City,Domestic Beer (0.5 liter draught)
0,,Albania,1.40
1,,Algeria,1.89
2,,Argentina,2.50
3,,Armenia,1.21
4,,Australia,6.02
5,,Austria,4.76
6,,Azerbaijan,2.29
7,,Bahrain,4.77
8,,Bangladesh,3.87
9,,Belarus,1.50
10,,Belgium,4.35
11,,Bosnia And Herzegovina,1.39
12,,Brazil,2.23
13,,Bulgaria,1.39
14,,Cambodia,1.00
15,,Canada,4.84
16,,Chile,2.01
17,,China,0.96
18,,Colombia,1.32
19,,Costa Rica,1.99
20,,Croatia,2.33
21,,Cyprus,4.08
22,,Czech Republic,1.49
23,,Denmark,7.29
24,,Dominican Republic,2.08
25,,Ecuador,1.15
26,,Egypt,1.68
27,,Estonia,2.99
28,,Finland,6.80
29,,France,6.80
30,,Georgia,1.13
31,,Germany,4.08
32,,Greece,4.08
33,,Hong Kong,4.26
34,,Hungary,1.57
35,,Iceland,8.40
36,,India,1.52
37,,Indonesia,2.13
38,,Iran,8.00
39,,Iraq,1.75
40,,Ireland,6.53
41,,Israel,7.91
42,,Italy,5.44
43,,Jamaica,2.25
44,,Japan,3.82
45,,Jordan,5.64
46,,Kazakhstan,1.63
47,,Kenya,2.05
48,,Kuwait,3.55
49,,Latvia,2.33
50,,Lebanon,2.00
51,,Lithuania,2.33
52,,Luxembourg,5.44
53,,Macedonia,1.77
54,,Malaysia,3.10
55,,Malta,2.72
56,,Mexico,1.87
57,,Morocco,2.43
58,,Nepal,2.00
59,,Netherlands,5.44
60,,New Zealand,5.93
61,,Nigeria,1.63
62,,Norway,12.51
63,,Oman,7.79
64,,Pakistan,3.04
65,,Panama,1.00
66,,Peru,2.17
67,,Philippines,1.03
68,,Poland,2.30
69,,Portugal,2.04
70,,Puerto Rico,1.75
71,,Qatar,10.99
72,,Romania,1.55
73,,Russia,1.72
74,,Saudi Arabia,0.80
75,,Serbia,1.76
76,,Singapore,5.57
77,,Slovakia,1.50
78,,Slovenia,2.99
79,,South Africa,1.89
80,,South Korea,2.93
81,,Spain,2.72
82,,Sri Lanka,1.51
83,,Sweden,8.22
84,,Switzerland,7.71
85,,Taiwan,2.00
86,,Thailand,1.82
87,,Trinidad And Tobago,1.55
88,,Tunisia,1.49
89,,Turkey,3.81
90,,Ukraine,0.85
91,,United Arab Emirates,9.53
92,,United Kingdom,5.53
93,,United States,3.50
94,,Uruguay,3.91
95,,Venezuela,2.60
96,,Vietnam,0.95
