,Rank,City,Tennis Court Rent (1 Hour on Weekend)
0,,Argentina,15.00
1,,Australia,19.69
2,,Austria,16.26
3,,Belgium,21.60
4,,Bosnia And Herzegovina,12.96
5,,Brazil,13.36
6,,Bulgaria,13.46
7,,Canada,25.88
8,,Chile,15.00
9,,China,11.00
10,,Colombia,15.00
11,,Croatia,5.77
12,,Czech Republic,9.59
13,,Denmark,9.93
14,,Ecuador,-
15,,Egypt,10.00
16,,Estonia,-
17,,Finland,16.05
18,,France,24.69
19,,Germany,19.05
20,,Greece,39.09
21,,Hong Kong,7.83
22,,Hungary,9.33
23,,India,8.28
24,,Indonesia,6.69
25,,Iran,12.60
26,,Ireland,-
27,,Israel,11.50
28,,Italy,16.26
29,,Japan,10.09
30,,Jordan,6.31
31,,Kazakhstan,20.00
32,,Lithuania,12.51
33,,Malaysia,5.83
34,,Malta,16.67
35,,Mexico,13.29
36,,Morocco,-
37,,Netherlands,21.60
38,,New Zealand,14.64
39,,Norway,30.91
40,,Pakistan,3.50
41,,Panama,-
42,,Philippines,6.47
43,,Poland,11.44
44,,Portugal,9.88
45,,Puerto Rico,20.00
46,,Qatar,-
47,,Romania,12.31
48,,Russia,10.00
49,,Saudi Arabia,150.00
50,,Serbia,9.88
51,,Singapore,8.93
52,,Slovakia,9.26
53,,Slovenia,16.87
54,,South Africa,8.70
55,,South Korea,-
56,,Spain,10.37
57,,Sweden,16.62
58,,Switzerland,35.92
59,,Syria,15.00
60,,Taiwan,3.70
61,,Thailand,3.39
62,,Turkey,10.07
63,,Ukraine,-
64,,United Arab Emirates,20.00
65,,United Kingdom,12.40
66,,United States,22.40
67,,Vietnam,1.50
