,Rank,City,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child"
0,,Albania,146.41
1,,Algeria,75.21
2,,Argentina,219.68
3,,Armenia,158.05
4,,Australia,1339.75
5,,Austria,262.07
6,,Azerbaijan,223.76
7,,Bahamas,-
8,,Bahrain,236.72
9,,Bangladesh,58.15
10,,Belarus,436.43
11,,Belgium,603.10
12,,Belize,347.31
13,,Bolivia,163.14
14,,Bosnia And Herzegovina,147.79
15,,Brazil,328.02
16,,Bulgaria,333.08
17,,Cambodia,273.33
18,,Canada,753.77
19,,Chile,421.32
20,,China,502.28
21,,Colombia,197.18
22,,Costa Rica,356.79
23,,Croatia,159.78
24,,Cyprus,366.27
25,,Czech Republic,413.97
26,,Denmark,460.80
27,,Dominican Republic,206.68
28,,Ecuador,295.36
29,,Egypt,115.24
30,,El Salvador,153.00
31,,Estonia,343.07
32,,Fiji,-
33,,Finland,318.06
34,,France,842.38
35,,Georgia,112.74
36,,Germany,358.79
37,,Ghana,-
38,,Greece,388.00
39,,Guatemala,216.50
40,,Hong Kong,687.74
41,,Hungary,306.91
42,,Iceland,327.19
43,,India,68.38
44,,Indonesia,98.18
45,,Iran,142.24
46,,Iraq,118.23
47,,Ireland,1023.06
48,,Israel,776.07
49,,Italy,518.20
50,,Jamaica,330.54
51,,Japan,426.71
52,,Jordan,236.54
53,,Kazakhstan,180.06
54,,Kenya,188.96
55,,Kosovo (Disputed Territory),106.17
56,,Kuwait,378.74
57,,Latvia,356.67
58,,Lebanon,375.21
59,,Lithuania,352.10
60,,Luxembourg,1109.42
61,,Macedonia,177.88
62,,Malaysia,152.41
63,,Malta,429.76
64,,Mauritius,196.49
65,,Mexico,165.09
66,,Moldova,248.69
67,,Montenegro,159.60
68,,Morocco,116.59
69,,Namibia,156.43
70,,Nepal,63.43
71,,Netherlands,1516.57
72,,New Zealand,747.32
73,,Nigeria,98.51
74,,Norway,373.25
75,,Oman,213.62
76,,Pakistan,60.77
77,,Panama,312.25
78,,Peru,204.94
79,,Philippines,203.80
80,,Poland,258.85
81,,Portugal,405.08
82,,Puerto Rico,316.47
83,,Qatar,597.91
84,,Romania,320.07
85,,Russia,317.48
86,,Saudi Arabia,281.57
87,,Serbia,224.83
88,,Singapore,723.57
89,,Slovakia,397.54
90,,Slovenia,403.05
91,,South Africa,215.66
92,,South Korea,410.47
93,,Spain,445.06
94,,Sri Lanka,37.81
95,,Sweden,147.71
96,,Switzerland,2405.51
97,,Taiwan,539.20
98,,Tanzania,-
99,,Thailand,306.58
100,,Trinidad And Tobago,184.45
101,,Tunisia,63.18
102,,Turkey,301.60
103,,Uganda,96.56
104,,Ukraine,191.42
105,,United Arab Emirates,487.93
106,,United Kingdom,1144.93
107,,United States,912.35
108,,Uruguay,362.43
109,,Uzbekistan,183.33
110,,Venezuela,15.04
111,,Vietnam,153.89
112,,Zimbabwe,375.55
