,Rank,City,"Meal, Inexpensive Restaurant"
0,,Argentina,7.25
1,,Australia,12.71
2,,Austria,13.58
3,,Belgium,18.52
4,,Bosnia And Herzegovina,5.56
5,,Brazil,6.59
6,,Bulgaria,5.66
7,,Canada,11.54
8,,Chile,8.04
9,,China,2.93
10,,Colombia,4.00
11,,Croatia,7.10
12,,Czech Republic,5.82
13,,Denmark,22.88
14,,Ecuador,4.50
15,,Egypt,5.00
16,,Estonia,4.73
17,,Finland,9.88
18,,France,13.58
19,,Germany,9.88
20,,Greece,13.58
21,,Hong Kong,6.42
22,,Hungary,5.37
23,,India,2.16
24,,Indonesia,2.17
25,,Iran,6.95
26,,Ireland,12.35
27,,Israel,12.00
28,,Italy,15.06
29,,Japan,8.77
30,,Jordan,7.39
31,,Kazakhstan,4.00
32,,Lithuania,7.15
33,,Malaysia,2.15
34,,Malta,9.88
35,,Mexico,7.62
36,,Morocco,3.28
37,,Netherlands,20.06
38,,New Zealand,13.61
39,,Norway,20.09
40,,Pakistan,1.60
41,,Panama,5.00
42,,Philippines,3.24
43,,Poland,7.58
44,,Portugal,8.64
45,,Puerto Rico,10.00
46,,Qatar,10.85
47,,Romania,5.88
48,,Russia,9.84
49,,Saudi Arabia,4.50
50,,Serbia,6.79
51,,Singapore,7.14
52,,Slovakia,5.56
53,,Slovenia,9.44
54,,South Africa,6.53
55,,South Korea,4.63
56,,Spain,11.11
57,,Sweden,11.51
58,,Switzerland,18.97
59,,Syria,5.25
60,,Taiwan,4.22
61,,Thailand,3.08
62,,Turkey,6.37
63,,Ukraine,7.00
64,,United Arab Emirates,15.00
65,,United Kingdom,14.49
66,,United States,10.00
67,,Vietnam,3.50
