,Rank,City,Banana (1kg)
0,,Albania,1.47
1,,Algeria,3.20
2,,Argentina,1.54
3,,Armenia,1.31
4,,Australia,2.45
5,,Austria,2.10
6,,Azerbaijan,1.33
7,,Bahamas,2.06
8,,Bahrain,1.71
9,,Bangladesh,1.05
10,,Belarus,1.18
11,,Belgium,1.97
12,,Belize,-
13,,Bolivia,-
14,,Bosnia And Herzegovina,1.27
15,,Brazil,1.03
16,,Bulgaria,1.48
17,,Cambodia,1.40
18,,Canada,1.34
19,,Chile,1.30
20,,China,1.22
21,,Colombia,0.86
22,,Costa Rica,1.39
23,,Croatia,1.73
24,,Cyprus,1.52
25,,Czech Republic,1.39
26,,Denmark,2.53
27,,Dominican Republic,0.70
28,,Ecuador,1.11
29,,Egypt,0.65
30,,El Salvador,-
31,,Estonia,1.28
32,,Fiji,-
33,,Finland,1.87
34,,France,2.22
35,,Georgia,1.48
36,,Germany,1.85
37,,Ghana,-
38,,Greece,1.69
39,,Guatemala,0.74
40,,Hong Kong,2.32
41,,Hungary,1.54
42,,Iceland,2.12
43,,India,0.74
44,,Indonesia,1.28
45,,Iran,1.81
46,,Iraq,1.04
47,,Ireland,1.91
48,,Israel,2.18
49,,Italy,1.93
50,,Jamaica,-
51,,Japan,2.65
52,,Jordan,1.70
53,,Kazakhstan,1.48
54,,Kenya,1.13
55,,Kosovo (Disputed Territory),1.35
56,,Kuwait,1.35
57,,Latvia,1.56
58,,Lebanon,1.29
59,,Lithuania,1.19
60,,Luxembourg,1.77
61,,Macedonia,1.04
62,,Malaysia,1.35
63,,Malta,2.01
64,,Mauritius,-
65,,Mexico,0.89
66,,Moldova,1.53
67,,Montenegro,1.52
68,,Morocco,1.20
69,,Namibia,-
70,,Nepal,0.96
71,,Netherlands,1.71
72,,New Zealand,2.00
73,,Nigeria,1.44
74,,Norway,2.80
75,,Oman,1.65
76,,Pakistan,0.88
77,,Panama,1.31
78,,Peru,1.05
79,,Philippines,1.22
80,,Poland,1.18
81,,Portugal,1.28
82,,Puerto Rico,2.01
83,,Qatar,1.49
84,,Romania,1.29
85,,Russia,0.98
86,,Saudi Arabia,1.53
87,,Serbia,1.25
88,,Singapore,1.78
89,,Slovakia,1.79
90,,Slovenia,1.42
91,,South Africa,1.35
92,,South Korea,4.00
93,,Spain,1.78
94,,Sri Lanka,0.99
95,,Sweden,2.39
96,,Switzerland,3.05
97,,Taiwan,1.90
98,,Tanzania,0.94
99,,Thailand,1.14
100,,Trinidad And Tobago,-
101,,Tunisia,1.78
102,,Turkey,1.86
103,,Uganda,-
104,,Ukraine,1.14
105,,United Arab Emirates,1.55
106,,United Kingdom,1.42
107,,United States,1.53
108,,Uruguay,2.27
109,,Uzbekistan,1.84
110,,Venezuela,1.13
111,,Vietnam,0.90
112,,Zimbabwe,1.84
