,Rank,City,"Fitness Club, Monthly Fee for 1 Adult"
0,,Albania,32.10
1,,Algeria,18.44
2,,Argentina,40.45
3,,Armenia,49.92
4,,Australia,47.96
5,,Austria,33.73
6,,Azerbaijan,31.96
7,,Bahamas,62.00
8,,Bahrain,72.30
9,,Bangladesh,22.95
10,,Belarus,30.17
11,,Belgium,30.72
12,,Belize,27.82
13,,Bolivia,43.96
14,,Bosnia And Herzegovina,26.90
15,,Brazil,28.99
16,,Bulgaria,25.50
17,,Cambodia,45.63
18,,Canada,38.02
19,,Chile,40.38
20,,China,42.43
21,,Colombia,32.86
22,,Costa Rica,55.05
23,,Croatia,39.88
24,,Cyprus,61.50
25,,Czech Republic,36.06
26,,Denmark,37.16
27,,Dominican Republic,31.01
28,,Ecuador,50.01
29,,Egypt,22.82
30,,El Salvador,29.33
31,,Estonia,53.69
32,,Fiji,19.42
33,,Finland,42.70
34,,France,44.79
35,,Georgia,38.36
36,,Germany,32.97
37,,Ghana,-
38,,Greece,34.30
39,,Guatemala,49.26
40,,Hong Kong,78.08
41,,Hungary,40.53
42,,Iceland,70.07
43,,India,22.38
44,,Indonesia,33.46
45,,Iran,31.32
46,,Iraq,45.26
47,,Ireland,46.08
48,,Israel,69.07
49,,Italy,56.08
50,,Jamaica,49.23
51,,Japan,84.49
52,,Jordan,63.51
53,,Kazakhstan,53.91
54,,Kenya,64.68
55,,Kosovo (Disputed Territory),9.73
56,,Kuwait,88.64
57,,Latvia,39.99
58,,Lebanon,66.09
59,,Lithuania,38.04
60,,Luxembourg,57.87
61,,Macedonia,22.56
62,,Malaysia,38.29
63,,Malta,54.00
64,,Mauritius,34.61
65,,Mexico,30.14
66,,Moldova,26.46
67,,Montenegro,32.24
68,,Morocco,23.79
69,,Namibia,47.96
70,,Nepal,22.58
71,,Netherlands,34.99
72,,New Zealand,45.38
73,,Nigeria,34.87
74,,Norway,49.43
75,,Oman,45.45
76,,Pakistan,21.10
77,,Panama,52.96
78,,Peru,46.80
79,,Philippines,33.67
80,,Poland,28.60
81,,Portugal,40.35
82,,Puerto Rico,37.54
83,,Qatar,105.05
84,,Romania,36.35
85,,Russia,35.63
86,,Saudi Arabia,85.56
87,,Serbia,25.45
88,,Singapore,96.36
89,,Slovakia,30.53
90,,Slovenia,47.22
91,,South Africa,37.71
92,,South Korea,63.04
93,,Spain,43.92
94,,Sri Lanka,18.41
95,,Sweden,39.01
96,,Switzerland,86.52
97,,Taiwan,47.80
98,,Tanzania,68.04
99,,Thailand,61.99
100,,Trinidad And Tobago,48.06
101,,Tunisia,22.34
102,,Turkey,28.98
103,,Uganda,50.07
104,,Ukraine,16.83
105,,United Arab Emirates,77.38
106,,United Kingdom,41.91
107,,United States,38.08
108,,Uruguay,56.81
109,,Uzbekistan,24.87
110,,Venezuela,6.83
111,,Vietnam,25.21
112,,Zimbabwe,60.00
