,Rank,City,Oranges (1kg)
0,,Albania,1.12
1,,Algeria,1.07
2,,Argentina,0.81
3,,Armenia,-
4,,Australia,2.64
5,,Austria,2.73
6,,Azerbaijan,1.55
7,,Bahrain,2.30
8,,Bangladesh,1.99
9,,Belarus,1.66
10,,Belgium,2.57
11,,Bolivia,-
12,,Bosnia And Herzegovina,1.37
13,,Brazil,0.98
14,,Brunei,-
15,,Bulgaria,1.29
16,,Cambodia,2.61
17,,Canada,3.02
18,,Chile,1.38
19,,China,1.85
20,,Colombia,1.01
21,,Costa Rica,1.84
22,,Croatia,1.40
23,,Cyprus,1.41
24,,Czech Republic,1.48
25,,Denmark,2.99
26,,Dominican Republic,2.58
27,,Ecuador,1.23
28,,Egypt,0.40
29,,El Salvador,-
30,,Estonia,1.58
31,,Ethiopia,1.27
32,,Finland,1.94
33,,France,2.84
34,,Georgia,1.06
35,,Germany,2.53
36,,Greece,1.11
37,,Guatemala,-
38,,Honduras,-
39,,Hong Kong,3.29
40,,Hungary,1.27
41,,Iceland,2.16
42,,India,1.01
43,,Indonesia,1.55
44,,Iran,1.20
45,,Iraq,1.10
46,,Ireland,2.52
47,,Israel,1.82
48,,Italy,1.90
49,,Jamaica,-
50,,Japan,5.22
51,,Jordan,1.44
52,,Kazakhstan,1.47
53,,Kenya,1.61
54,,Kosovo (Disputed Territory),1.12
55,,Kuwait,1.72
56,,Latvia,1.40
57,,Lebanon,1.32
58,,Lithuania,1.19
59,,Luxembourg,2.64
60,,Macedonia,1.00
61,,Malaysia,1.84
62,,Malta,2.89
63,,Mauritius,-
64,,Mexico,0.94
65,,Moldova,1.12
66,,Montenegro,1.21
67,,Morocco,0.48
68,,Namibia,-
69,,Nepal,1.03
70,,Netherlands,2.04
71,,New Zealand,2.51
72,,Nigeria,1.65
73,,Norway,3.11
74,,Oman,1.61
75,,Pakistan,0.84
76,,Palestinian Territory,1.40
77,,Panama,2.81
78,,Peru,1.27
79,,Philippines,2.12
80,,Poland,1.24
81,,Portugal,1.24
82,,Puerto Rico,-
83,,Qatar,1.61
84,,Romania,1.11
85,,Russia,1.29
86,,Saudi Arabia,1.26
87,,Serbia,1.09
88,,Singapore,3.07
89,,Slovakia,1.83
90,,Slovenia,1.48
91,,South Africa,1.60
92,,South Korea,5.89
93,,Spain,1.44
94,,Sri Lanka,-
95,,Sweden,2.64
96,,Switzerland,3.53
97,,Taiwan,2.41
98,,Thailand,1.88
99,,Trinidad And Tobago,-
100,,Tunisia,0.57
101,,Turkey,0.81
102,,Uganda,-
103,,Ukraine,1.16
104,,United Arab Emirates,1.63
105,,United Kingdom,2.18
106,,United States,3.80
107,,Uruguay,1.28
108,,Uzbekistan,1.95
109,,Venezuela,0.69
110,,Vietnam,1.35
