,Rank,City,Imported Beer (0.33 liter bottle)
0,,Albania,1.44
1,,Algeria,1.64
2,,Argentina,3.63
3,,Armenia,1.67
4,,Australia,5.96
5,,Austria,4.31
6,,Azerbaijan,1.99
7,,Bahrain,7.96
8,,Bangladesh,5.97
9,,Belarus,2.00
10,,Belgium,3.41
11,,Bolivia,3.64
12,,Bosnia And Herzegovina,1.74
13,,Brazil,3.46
14,,Bulgaria,1.74
15,,Cambodia,2.00
16,,Canada,5.08
17,,Chile,2.94
18,,China,2.76
19,,Colombia,2.03
20,,Costa Rica,3.70
21,,Croatia,2.27
22,,Cyprus,3.41
23,,Czech Republic,1.58
24,,Denmark,6.11
25,,Dominican Republic,3.48
26,,Ecuador,3.00
27,,Egypt,2.25
28,,El Salvador,3.00
29,,Estonia,3.41
30,,Finland,5.68
31,,France,5.68
32,,Georgia,1.65
33,,Germany,3.41
34,,Greece,4.54
35,,Guatemala,2.62
36,,Hong Kong,5.15
37,,Hungary,1.46
38,,Iceland,8.16
39,,India,2.25
40,,Indonesia,3.79
41,,Iran,1.33
42,,Iraq,1.91
43,,Ireland,5.68
44,,Israel,6.53
45,,Italy,3.97
46,,Jamaica,2.40
47,,Japan,4.66
48,,Jordan,7.05
49,,Kazakhstan,1.20
50,,Kenya,2.97
51,,Kosovo (Disputed Territory),1.70
52,,Kuwait,2.24
53,,Latvia,2.27
54,,Lebanon,3.00
55,,Lithuania,2.27
56,,Luxembourg,4.54
57,,Macedonia,1.66
58,,Malaysia,3.70
59,,Malta,2.84
60,,Mauritius,1.91
61,,Mexico,2.43
62,,Moldova,1.52
63,,Montenegro,2.27
64,,Morocco,3.11
65,,Nepal,2.81
66,,Netherlands,3.97
67,,New Zealand,5.58
68,,Nigeria,2.01
69,,Norway,9.23
70,,Oman,7.79
71,,Pakistan,4.78
72,,Panama,3.00
73,,Peru,2.33
74,,Philippines,1.96
75,,Poland,1.83
76,,Portugal,2.27
77,,Puerto Rico,3.50
78,,Qatar,11.81
79,,Romania,1.76
80,,Russia,2.00
81,,Saudi Arabia,0.80
82,,Serbia,1.75
83,,Singapore,7.39
84,,Slovakia,1.70
85,,Slovenia,3.41
86,,South Africa,2.01
87,,South Korea,4.33
88,,Spain,2.84
89,,Sri Lanka,2.74
90,,Sweden,7.25
91,,Switzerland,6.21
92,,Taiwan,1.87
93,,Thailand,2.84
94,,Trinidad And Tobago,2.26
95,,Tunisia,1.76
96,,Turkey,3.45
97,,Ukraine,1.19
98,,United Arab Emirates,10.89
99,,United Kingdom,5.10
100,,United States,5.00
101,,Uruguay,3.26
102,,Venezuela,2.00
103,,Vietnam,1.34
104,,Zimbabwe,1.40
