,Rank,City,"Milk (regular), (1 liter)"
0,,Albania,1.06
1,,Algeria,0.53
2,,Argentina,1.41
3,,Armenia,0.84
4,,Australia,1.08
5,,Austria,1.19
6,,Azerbaijan,0.92
7,,Bahrain,1.89
8,,Bangladesh,0.83
9,,Belarus,0.61
10,,Belgium,1.05
11,,Bolivia,0.89
12,,Bosnia And Herzegovina,0.79
13,,Brazil,0.95
14,,Bulgaria,1.12
15,,Cambodia,1.90
16,,Canada,1.59
17,,Chile,1.15
18,,China,1.82
19,,Colombia,0.92
20,,Costa Rica,1.39
21,,Croatia,0.90
22,,Cyprus,1.46
23,,Czech Republic,0.76
24,,Denmark,1.07
25,,Dominican Republic,1.20
26,,Ecuador,0.90
27,,Egypt,0.70
28,,Estonia,0.70
29,,Finland,1.06
30,,France,1.10
31,,Georgia,1.21
32,,Germany,0.89
33,,Greece,1.32
34,,Guatemala,1.51
35,,Hong Kong,2.99
36,,Hungary,0.80
37,,Iceland,1.54
38,,India,0.70
39,,Indonesia,1.32
40,,Iran,0.75
41,,Iraq,1.23
42,,Ireland,1.11
43,,Israel,1.59
44,,Italy,1.25
45,,Jamaica,-
46,,Japan,1.75
47,,Jordan,1.54
48,,Kazakhstan,0.86
49,,Kenya,0.93
50,,Kosovo (Disputed Territory),0.83
51,,Kuwait,1.32
52,,Latvia,1.03
53,,Lebanon,2.31
54,,Lithuania,0.95
55,,Luxembourg,1.41
56,,Macedonia,0.88
57,,Malaysia,1.67
58,,Malta,0.98
59,,Mauritius,1.24
60,,Mexico,0.90
61,,Moldova,0.60
62,,Montenegro,0.82
63,,Morocco,0.72
64,,Nepal,0.70
65,,Netherlands,1.08
66,,New Zealand,1.94
67,,Nigeria,2.32
68,,Norway,1.96
69,,Oman,1.66
70,,Pakistan,0.90
71,,Panama,1.38
72,,Peru,1.19
73,,Philippines,1.55
74,,Poland,0.65
75,,Portugal,0.67
76,,Puerto Rico,1.98
77,,Qatar,1.71
78,,Romania,1.00
79,,Russia,1.01
80,,Saudi Arabia,1.17
81,,Serbia,0.83
82,,Singapore,2.18
83,,Slovakia,0.81
84,,Slovenia,1.05
85,,South Africa,1.05
86,,South Korea,2.11
87,,Spain,0.88
88,,Sri Lanka,1.20
89,,Sweden,1.20
90,,Switzerland,1.57
91,,Taiwan,2.99
92,,Tanzania,0.97
93,,Thailand,1.56
94,,Trinidad And Tobago,1.79
95,,Tunisia,0.47
96,,Turkey,0.80
97,,Ukraine,0.72
98,,United Arab Emirates,1.48
99,,United Kingdom,1.14
100,,United States,0.83
101,,Uruguay,0.87
102,,Venezuela,1.05
103,,Vietnam,1.51
104,,Zimbabwe,1.24
