,Rank,City,Water (0.33 liter bottle)
0,,Albania,0.71
1,,Algeria,0.27
2,,Argentina,1.42
3,,Armenia,0.45
4,,Australia,2.38
5,,Austria,2.31
6,,Azerbaijan,0.33
7,,Bahrain,0.34
8,,Bangladesh,0.20
9,,Belarus,0.67
10,,Belgium,2.35
11,,Bosnia And Herzegovina,0.86
12,,Brazil,1.04
13,,Bulgaria,0.66
14,,Cambodia,0.44
15,,Canada,1.56
16,,Chile,1.05
17,,China,0.31
18,,Colombia,0.92
19,,Costa Rica,1.12
20,,Croatia,1.42
21,,Cyprus,1.11
22,,Czech Republic,1.09
23,,Denmark,3.01
24,,Dominican Republic,0.56
25,,Ecuador,0.54
26,,Egypt,0.30
27,,Estonia,1.35
28,,Finland,2.05
29,,France,2.19
30,,Georgia,0.28
31,,Germany,2.28
32,,Greece,0.68
33,,Hong Kong,0.92
34,,Hungary,0.79
35,,Iceland,2.15
36,,India,0.23
37,,Indonesia,0.23
38,,Iran,0.24
39,,Iraq,0.24
40,,Ireland,1.65
41,,Israel,1.93
42,,Italy,1.39
43,,Jamaica,0.86
44,,Japan,1.06
45,,Jordan,0.40
46,,Kazakhstan,0.63
47,,Kenya,0.55
48,,Kuwait,0.40
49,,Latvia,1.00
50,,Lebanon,0.55
51,,Lithuania,0.87
52,,Luxembourg,3.27
53,,Macedonia,0.77
54,,Malaysia,0.39
55,,Malta,1.26
56,,Mexico,0.66
57,,Morocco,0.47
58,,Nepal,0.19
59,,Netherlands,2.61
60,,New Zealand,2.41
61,,Nigeria,0.44
62,,Norway,3.78
63,,Oman,0.26
64,,Pakistan,0.26
65,,Panama,0.99
66,,Peru,0.48
67,,Philippines,0.38
68,,Poland,1.02
69,,Portugal,1.16
70,,Puerto Rico,1.06
71,,Qatar,0.35
72,,Romania,1.01
73,,Russia,0.87
74,,Saudi Arabia,0.26
75,,Serbia,1.08
76,,Singapore,0.89
77,,Slovakia,1.30
78,,Slovenia,1.78
79,,South Africa,0.74
80,,South Korea,0.81
81,,Spain,1.60
82,,Sri Lanka,0.37
83,,Sweden,2.19
84,,Switzerland,3.80
85,,Taiwan,0.63
86,,Thailand,0.29
87,,Trinidad And Tobago,0.65
88,,Tunisia,0.29
89,,Turkey,0.36
90,,Ukraine,0.46
91,,United Arab Emirates,0.32
92,,United Kingdom,1.55
93,,United States,1.33
94,,Uruguay,1.63
95,,Venezuela,1.27
96,,Vietnam,0.29
