,Rank,City,Monthly Pass (Regular Price)
0,,Albania,14.31
1,,Algeria,10.70
2,,Argentina,16.11
3,,Armenia,11.36
4,,Australia,107.57
5,,Austria,52.33
6,,Azerbaijan,17.03
7,,Bahrain,37.18
8,,Bangladesh,17.66
9,,Belarus,14.92
10,,Belgium,54.56
11,,Bolivia,-
12,,Bosnia And Herzegovina,28.43
13,,Brazil,37.39
14,,Bulgaria,28.39
15,,Cambodia,-
16,,Canada,74.30
17,,Chile,50.06
18,,China,21.02
19,,Colombia,32.44
20,,Costa Rica,36.61
21,,Croatia,52.72
22,,Cyprus,44.53
23,,Czech Republic,22.76
24,,Denmark,74.68
25,,Dominican Republic,-
26,,Ecuador,21.74
27,,Egypt,12.67
28,,Estonia,33.40
29,,Finland,65.69
30,,France,77.94
31,,Georgia,10.20
32,,Germany,89.07
33,,Ghana,34.31
34,,Greece,33.40
35,,Guatemala,-
36,,Hong Kong,61.92
37,,Hungary,30.52
38,,Iceland,96.59
39,,India,13.28
40,,Indonesia,13.80
41,,Iran,14.03
42,,Iraq,25.11
43,,Ireland,144.74
44,,Israel,60.82
45,,Italy,38.97
46,,Japan,93.00
47,,Jordan,56.42
48,,Kazakhstan,14.55
49,,Kenya,35.08
50,,Kosovo (Disputed Territory),15.59
51,,Kuwait,38.96
52,,Latvia,55.67
53,,Lebanon,63.22
54,,Lithuania,32.29
55,,Luxembourg,0.00
56,,Malaysia,23.16
57,,Malta,28.95
58,,Mauritius,-
59,,Mexico,18.26
60,,Moldova,-
61,,Montenegro,30.62
62,,Morocco,20.43
63,,Nepal,4.96
64,,Netherlands,100.20
65,,New Zealand,134.11
66,,Nigeria,25.83
67,,North Macedonia,26.17
68,,Norway,79.64
69,,Oman,-
70,,Pakistan,7.38
71,,Panama,25.00
72,,Peru,23.83
73,,Philippines,11.93
74,,Poland,26.60
75,,Portugal,44.53
76,,Puerto Rico,-
77,,Qatar,34.09
78,,Romania,16.04
79,,Russia,30.93
80,,Saudi Arabia,53.27
81,,Serbia,30.21
82,,Singapore,85.25
83,,Slovakia,30.06
84,,Slovenia,41.19
85,,South Africa,40.13
86,,South Korea,44.83
87,,Spain,44.53
88,,Sri Lanka,5.36
89,,Sweden,96.94
90,,Switzerland,83.27
91,,Syria,-
92,,Taiwan,42.76
93,,Tanzania,-
94,,Thailand,37.80
95,,Trinidad And Tobago,-
96,,Tunisia,10.44
97,,Turkey,34.89
98,,Uganda,-
99,,Ukraine,12.09
100,,United Arab Emirates,68.06
101,,United Kingdom,86.68
102,,United States,85.00
103,,Uruguay,39.26
104,,Uzbekistan,12.17
105,,Venezuela,30.00
106,,Vietnam,8.59
