,Rank,City,Price per Square Meter to Buy Apartment Outside of Centre
0,,Albania,688.90
1,,Argentina,1572.25
2,,Australia,5063.99
3,,Austria,3064.20
4,,Bahrain,-
5,,Bangladesh,551.00
6,,Belarus,1180.00
7,,Belgium,2932.10
8,,Bosnia And Herzegovina,967.14
9,,Brazil,1898.51
10,,Bulgaria,706.11
11,,Cambodia,750.00
12,,Canada,2755.15
13,,Chile,2060.89
14,,China,2171.55
15,,Colombia,1675.71
16,,Costa Rica,1052.66
17,,Croatia,1793.33
18,,Cyprus,1872.43
19,,Czech Republic,1499.31
20,,Denmark,3470.41
21,,Dominican Republic,575.31
22,,Ecuador,680.13
23,,Egypt,512.53
24,,Estonia,1234.57
25,,Finland,3552.47
26,,France,3816.87
27,,Georgia,3125.00
28,,Germany,2134.46
29,,Greece,2009.99
30,,Hong Kong,8961.47
31,,Hungary,998.48
32,,Iceland,-
33,,India,678.10
34,,Indonesia,897.51
35,,Iran,1289.13
36,,Iraq,916.67
37,,Ireland,2263.37
38,,Israel,3387.18
39,,Italy,3181.01
40,,Japan,2731.98
41,,Jordan,845.49
42,,Kazakhstan,1069.93
43,,Kenya,1060.12
44,,Kuwait,2245.69
45,,Latvia,851.76
46,,Lebanon,1670.00
47,,Lithuania,1173.41
48,,Luxembourg,5349.79
49,,Macedonia,966.68
50,,Malaysia,1073.88
51,,Malta,2037.04
52,,Mauritius,3405.06
53,,Mexico,944.64
54,,Morocco,1079.43
55,,Nepal,462.09
56,,Netherlands,2828.13
57,,New Zealand,2635.71
58,,Nigeria,1500.00
59,,Norway,5063.65
60,,Oman,1000.00
61,,Pakistan,510.94
62,,Peru,952.40
63,,Philippines,821.11
64,,Poland,1467.60
65,,Portugal,1329.22
66,,Puerto Rico,1214.93
67,,Qatar,3663.00
68,,Romania,998.87
69,,Russia,1898.58
70,,Saudi Arabia,2058.81
71,,Serbia,1228.70
72,,Singapore,8569.39
73,,Slovakia,1468.93
74,,Slovenia,2379.35
75,,South Africa,1064.20
76,,South Korea,3649.48
77,,Spain,2459.99
78,,Sri Lanka,922.83
79,,Sweden,3648.94
80,,Switzerland,6359.79
81,,Taiwan,2307.95
82,,Tanzania,-
83,,Thailand,1262.10
84,,Tunisia,536.04
85,,Turkey,819.89
86,,Ukraine,1069.46
87,,United Arab Emirates,2021.91
88,,United Kingdom,3349.46
89,,United States,1268.96
90,,Uruguay,1786.52
91,,Venezuela,1998.18
92,,Vietnam,725.56
