,Rank,City,Price per Square Meter to Buy Apartment in City Centre
0,,Argentina,1975.00
1,,Australia,5218.22
2,,Austria,4938.27
3,,Belgium,3655.25
4,,Bosnia And Herzegovina,1706.19
5,,Brazil,1960.20
6,,Bulgaria,1116.12
7,,Canada,3801.59
8,,Chile,-
9,,China,3153.29
10,,Colombia,-
11,,Croatia,1962.96
12,,Czech Republic,7270.96
13,,Denmark,5041.32
14,,Ecuador,1200.00
15,,Egypt,1047.50
16,,Estonia,2248.74
17,,Finland,7888.76
18,,France,5508.23
19,,Germany,3156.97
20,,Greece,2821.87
21,,Hong Kong,14738.77
22,,Hungary,1339.03
23,,India,1351.96
24,,Indonesia,876.62
25,,Iran,1775.00
26,,Ireland,-
27,,Israel,2834.00
28,,Italy,3806.58
29,,Japan,6086.86
30,,Jordan,1377.40
31,,Kazakhstan,2000.00
32,,Lithuania,2307.23
33,,Malaysia,-
34,,Malta,2808.64
35,,Mexico,1407.57
36,,Morocco,2680.41
37,,Netherlands,4759.88
38,,New Zealand,3463.27
39,,Norway,8064.25
40,,Pakistan,1065.51
41,,Panama,1200.00
42,,Philippines,353.83
43,,Poland,2202.02
44,,Portugal,2139.92
45,,Puerto Rico,-
46,,Qatar,-
47,,Romania,1628.73
48,,Russia,2593.55
49,,Saudi Arabia,900.00
50,,Serbia,2000.00
51,,Singapore,11532.76
52,,Slovakia,1666.67
53,,Slovenia,3086.42
54,,South Africa,1239.30
55,,South Korea,13896.70
56,,Spain,3849.61
57,,Sweden,6461.15
58,,Switzerland,5603.45
59,,Syria,630.00
60,,Taiwan,9325.42
61,,Thailand,1695.96
62,,Turkey,891.72
63,,Ukraine,1500.00
64,,United Arab Emirates,3499.32
65,,United Kingdom,4082.13
66,,United States,1911.31
67,,Vietnam,2750.00
