,Rank,City,Gasoline (1 liter)
0,,Albania,1.83
1,,Algeria,0.27
2,,Argentina,1.57
3,,Armenia,1.16
4,,Australia,1.44
5,,Austria,1.85
6,,Azerbaijan,0.89
7,,Bahrain,0.27
8,,Bangladesh,1.24
9,,Belarus,1.00
10,,Belgium,2.06
11,,Bosnia And Herzegovina,1.64
12,,Brazil,1.34
13,,Bulgaria,1.80
14,,Cambodia,1.25
15,,Canada,1.22
16,,Chile,1.63
17,,China,1.25
18,,Colombia,1.22
19,,Costa Rica,1.46
20,,Croatia,1.90
21,,Cyprus,1.93
22,,Czech Republic,1.81
23,,Denmark,2.15
24,,Dominican Republic,1.54
25,,Ecuador,0.51
26,,Egypt,0.34
27,,Estonia,1.77
28,,Finland,2.20
29,,France,2.00
30,,Georgia,1.18
31,,Germany,2.09
32,,Greece,2.25
33,,Hong Kong,2.19
34,,Hungary,1.85
35,,Iceland,2.19
36,,India,1.29
37,,Indonesia,0.67
38,,Iran,0.30
39,,Iraq,0.47
40,,Ireland,2.07
41,,Israel,2.17
42,,Italy,2.33
43,,Jamaica,1.19
44,,Japan,1.55
45,,Jordan,1.28
46,,Kazakhstan,0.74
47,,Kenya,1.32
48,,Kuwait,0.23
49,,Latvia,1.75
50,,Lebanon,1.25
51,,Lithuania,1.77
52,,Luxembourg,1.73
53,,Macedonia,1.74
54,,Malaysia,0.68
55,,Malta,1.95
56,,Mexico,1.00
57,,Morocco,1.38
58,,Nepal,1.39
59,,Netherlands,2.37
60,,New Zealand,1.81
61,,Nigeria,0.60
62,,Norway,2.51
63,,Oman,0.31
64,,Pakistan,1.07
65,,Panama,1.02
66,,Peru,1.49
67,,Philippines,1.16
68,,Poland,1.76
69,,Portugal,2.12
70,,Puerto Rico,0.95
71,,Qatar,0.27
72,,Romania,1.91
73,,Russia,0.96
74,,Saudi Arabia,0.14
75,,Serbia,1.81
76,,Singapore,1.75
77,,Slovakia,2.00
78,,Slovenia,2.00
79,,South Africa,1.32
80,,South Korea,1.87
81,,Spain,1.91
82,,Sri Lanka,1.27
83,,Sweden,2.18
84,,Switzerland,1.96
85,,Taiwan,1.12
86,,Thailand,1.19
87,,Trinidad And Tobago,0.51
88,,Tunisia,0.97
89,,Turkey,2.38
90,,Ukraine,1.26
91,,United Arab Emirates,0.48
92,,United Kingdom,2.19
93,,United States,0.94
94,,Uruguay,1.80
95,,Venezuela,0.12
96,,Vietnam,1.16
