,Rank,City,1 Pair of Men Leather Business Shoes
0,,Argentina,99.00
1,,Australia,110.17
2,,Austria,123.46
3,,Belgium,129.63
4,,Bosnia And Herzegovina,86.42
5,,Brazil,118.74
6,,Bulgaria,66.04
7,,Canada,111.91
8,,Chile,85.00
9,,China,98.48
10,,Colombia,50.00
11,,Croatia,91.65
12,,Czech Republic,60.59
13,,Denmark,187.33
14,,Ecuador,70.00
15,,Egypt,155.00
16,,Estonia,71.01
17,,Finland,172.84
18,,France,135.19
19,,Germany,109.60
20,,Greece,117.28
21,,Hong Kong,160.40
22,,Hungary,40.82
23,,India,49.82
24,,Indonesia,32.31
25,,Iran,47.50
26,,Ireland,86.42
27,,Israel,110.00
28,,Italy,144.03
29,,Japan,84.08
30,,Jordan,100.00
31,,Kazakhstan,-
32,,Lithuania,94.75
33,,Malaysia,48.97
34,,Malta,46.30
35,,Mexico,56.67
36,,Morocco,148.15
37,,Netherlands,185.19
38,,New Zealand,128.57
39,,Norway,133.95
40,,Pakistan,33.60
41,,Panama,45.00
42,,Philippines,62.57
43,,Poland,75.70
44,,Portugal,98.77
45,,Puerto Rico,35.00
46,,Qatar,-
47,,Romania,72.67
48,,Russia,143.34
49,,Saudi Arabia,60.00
50,,Serbia,98.77
51,,Singapore,80.00
52,,Slovakia,74.07
53,,Slovenia,109.05
54,,South Africa,79.69
55,,South Korea,45.00
56,,Spain,87.79
57,,Sweden,90.17
58,,Switzerland,151.55
59,,Syria,25.00
60,,Taiwan,103.00
61,,Thailand,77.09
62,,Turkey,68.72
63,,Ukraine,83.33
64,,United Arab Emirates,112.50
65,,United Kingdom,78.20
66,,United States,83.62
67,,Vietnam,-
