,Rank,City,Gasoline (1 liter)
0,,Albania,1.79
1,,Argentina,1.41
2,,Australia,1.44
3,,Austria,1.80
4,,Bahrain,0.27
5,,Bangladesh,1.17
6,,Belarus,0.79
7,,Belgium,1.97
8,,Bosnia And Herzegovina,1.55
9,,Brazil,1.37
10,,Bulgaria,1.64
11,,Cambodia,1.29
12,,Canada,1.26
13,,Chile,1.58
14,,China,1.27
15,,Colombia,1.29
16,,Costa Rica,1.34
17,,Croatia,1.76
18,,Cyprus,1.69
19,,Czech Republic,1.77
20,,Denmark,2.09
21,,Dominican Republic,1.51
22,,Ecuador,0.51
23,,Egypt,0.31
24,,Estonia,1.72
25,,Finland,2.09
26,,France,1.89
27,,Georgia,1.39
28,,Germany,2.02
29,,Greece,2.18
30,,Hong Kong,2.20
31,,Hungary,1.79
32,,Iceland,1.94
33,,India,1.30
34,,Indonesia,0.72
35,,Iran,0.52
36,,Iraq,0.76
37,,Ireland,2.02
38,,Israel,2.00
39,,Italy,2.22
40,,Japan,1.88
41,,Jordan,1.28
42,,Kazakhstan,0.85
43,,Kenya,1.43
44,,Kuwait,0.30
45,,Latvia,1.76
46,,Lebanon,1.24
47,,Lithuania,1.77
48,,Luxembourg,1.70
49,,Macedonia,1.71
50,,Malaysia,0.60
51,,Malta,1.80
52,,Mauritius,1.74
53,,Mexico,0.73
54,,Morocco,1.06
55,,Nepal,1.49
56,,Netherlands,2.19
57,,New Zealand,1.62
58,,Nigeria,0.70
59,,Norway,2.36
60,,Oman,0.32
61,,Pakistan,1.07
62,,Peru,1.46
63,,Philippines,1.22
64,,Poland,1.65
65,,Portugal,2.06
66,,Puerto Rico,0.96
67,,Qatar,0.27
68,,Romania,1.65
69,,Russia,0.88
70,,Saudi Arabia,0.14
71,,Serbia,1.68
72,,Singapore,1.66
73,,Slovakia,1.89
74,,Slovenia,1.83
75,,South Africa,1.38
76,,South Korea,1.76
77,,Spain,1.79
78,,Sri Lanka,1.17
79,,Sweden,2.02
80,,Switzerland,1.89
81,,Taiwan,1.13
82,,Tanzania,1.38
83,,Thailand,1.25
84,,Tunisia,0.91
85,,Turkey,2.47
86,,Ukraine,1.36
87,,United Arab Emirates,0.48
88,,United Kingdom,2.12
89,,United States,0.99
90,,Uruguay,1.89
91,,Venezuela,0.17
92,,Vietnam,1.11
