,Rank,City,Average Monthly Net Salary (After Tax)
0,,Argentina,686.01
1,,Australia,4212.11
2,,Austria,2845.47
3,,Bangladesh,300.00
4,,Belgium,2882.97
5,,Bosnia And Herzegovina,644.93
6,,Brazil,872.25
7,,Bulgaria,533.91
8,,Canada,3054.02
9,,Chile,875.81
10,,China,472.77
11,,Colombia,440.75
12,,Costa Rica,850.00
13,,Croatia,939.09
14,,Cyprus,2137.68
15,,Czech Republic,1192.86
16,,Denmark,3685.35
17,,Ecuador,304.56
18,,Egypt,416.00
19,,Estonia,952.84
20,,Finland,3188.41
21,,France,2894.49
22,,Germany,3103.31
23,,Greece,1309.72
24,,Hong Kong,3020.57
25,,Hungary,676.36
26,,Iceland,2475.85
27,,India,534.82
28,,Indonesia,275.72
29,,Iran,744.55
30,,Ireland,3006.98
31,,Israel,2023.55
32,,Italy,1995.53
33,,Japan,2967.50
34,,Jordan,547.87
35,,Latvia,674.01
36,,Lebanon,800.00
37,,Lithuania,627.55
38,,Macedonia,426.63
39,,Malaysia,989.17
40,,Malta,2409.42
41,,Mexico,870.90
42,,Morocco,360.87
43,,Netherlands,3039.01
44,,New Zealand,2693.29
45,,Norway,4393.05
46,,Pakistan,307.00
47,,Panama,575.00
48,,Peru,586.11
49,,Philippines,291.24
50,,Poland,942.40
51,,Portugal,1163.42
52,,Puerto Rico,1932.00
53,,Qatar,4034.26
54,,Romania,501.95
55,,Russia,806.03
56,,Saudi Arabia,1959.86
57,,Serbia,475.36
58,,Singapore,3049.76
59,,Slovakia,848.31
60,,Slovenia,1331.54
61,,South Africa,2064.38
62,,South Korea,2209.47
63,,Spain,2236.35
64,,Sri Lanka,477.13
65,,Sweden,3093.88
66,,Switzerland,5917.39
67,,Syria,300.00
68,,Taiwan,1212.50
69,,Thailand,502.71
70,,Tunisia,343.75
71,,Turkey,985.32
72,,Ukraine,341.59
73,,United Arab Emirates,3845.70
74,,United Kingdom,2634.82
75,,United States,2804.61
76,,Uruguay,680.10
77,,Venezuela,464.50
78,,Vietnam,420.00
