,Rank,City,Apples (1kg)
0,,Albania,0.83
1,,Algeria,2.30
2,,Argentina,2.38
3,,Armenia,0.98
4,,Australia,3.04
5,,Austria,2.50
6,,Azerbaijan,0.90
7,,Bahrain,2.12
8,,Bangladesh,1.73
9,,Belarus,1.04
10,,Belgium,2.34
11,,Bolivia,1.33
12,,Bosnia And Herzegovina,0.81
13,,Brazil,1.80
14,,Bulgaria,1.04
15,,Cambodia,3.33
16,,Canada,2.76
17,,Chile,1.35
18,,China,1.64
19,,Colombia,1.81
20,,Costa Rica,4.34
21,,Croatia,1.29
22,,Cyprus,1.93
23,,Czech Republic,1.22
24,,Denmark,2.62
25,,Dominican Republic,2.38
26,,Ecuador,2.12
27,,Egypt,1.15
28,,Estonia,1.17
29,,Finland,2.37
30,,France,2.56
31,,Georgia,0.97
32,,Germany,2.46
33,,Greece,1.58
34,,Guatemala,-
35,,Hong Kong,3.34
36,,Hungary,1.13
37,,Iceland,2.92
38,,India,2.16
39,,Indonesia,2.60
40,,Iran,1.21
41,,Iraq,1.08
42,,Ireland,2.36
43,,Israel,2.56
44,,Italy,2.00
45,,Jamaica,-
46,,Japan,7.55
47,,Jordan,1.58
48,,Kazakhstan,1.26
49,,Kenya,2.52
50,,Kosovo (Disputed Territory),0.56
51,,Kuwait,2.15
52,,Latvia,1.16
53,,Lebanon,1.67
54,,Lithuania,0.81
55,,Luxembourg,-
56,,Macedonia,0.67
57,,Malaysia,2.29
58,,Malta,2.33
59,,Mauritius,-
60,,Mexico,1.97
61,,Moldova,0.60
62,,Montenegro,1.01
63,,Morocco,1.12
64,,Nepal,1.69
65,,Netherlands,2.12
66,,New Zealand,2.64
67,,Nigeria,3.43
68,,Norway,2.83
69,,Oman,1.99
70,,Pakistan,1.46
71,,Panama,3.44
72,,Peru,1.25
73,,Philippines,2.52
74,,Poland,0.72
75,,Portugal,1.64
76,,Puerto Rico,5.06
77,,Qatar,2.11
78,,Romania,0.85
79,,Russia,1.41
80,,Saudi Arabia,1.80
81,,Serbia,0.73
82,,Singapore,3.22
83,,Slovakia,1.39
84,,Slovenia,1.38
85,,South Africa,1.54
86,,South Korea,5.81
87,,Spain,1.89
88,,Sri Lanka,2.86
89,,Sweden,2.79
90,,Switzerland,3.92
91,,Taiwan,3.82
92,,Tanzania,2.91
93,,Thailand,2.69
94,,Trinidad And Tobago,-
95,,Tunisia,1.12
96,,Turkey,0.97
97,,Ukraine,0.65
98,,United Arab Emirates,2.11
99,,United Kingdom,2.34
100,,United States,4.36
101,,Uruguay,2.10
102,,Venezuela,2.93
103,,Vietnam,2.60
104,,Zimbabwe,-
