,Rank,City,Taxi Start (Normal Tariff)
0,,Albania,2.24
1,,Algeria,0.78
2,,Argentina,0.96
3,,Armenia,1.24
4,,Australia,2.82
5,,Austria,4.45
6,,Azerbaijan,1.17
7,,Bahrain,5.31
8,,Bangladesh,0.97
9,,Belarus,1.45
10,,Belgium,5.46
11,,Bolivia,1.45
12,,Bosnia And Herzegovina,1.14
13,,Brazil,0.93
14,,Bulgaria,0.57
15,,Cambodia,1.00
16,,Canada,2.91
17,,Chile,0.44
18,,China,1.68
19,,Colombia,1.35
20,,Costa Rica,1.15
21,,Croatia,2.20
22,,Cyprus,5.57
23,,Czech Republic,1.66
24,,Denmark,7.47
25,,Dominican Republic,3.55
26,,Ecuador,1.50
27,,Egypt,0.47
28,,Estonia,2.78
29,,Finland,6.68
30,,France,3.51
31,,Georgia,0.94
32,,Germany,3.90
33,,Ghana,0.86
34,,Greece,3.90
35,,Guatemala,3.90
36,,Hong Kong,3.10
37,,Hungary,2.25
38,,Iceland,5.12
39,,India,0.66
40,,Indonesia,0.48
41,,Iran,0.50
42,,Iraq,2.51
43,,Ireland,4.45
44,,Israel,3.54
45,,Italy,5.57
46,,Japan,5.35
47,,Jordan,0.49
48,,Kazakhstan,1.21
49,,Kenya,1.88
50,,Kosovo (Disputed Territory),1.67
51,,Kuwait,4.87
52,,Latvia,2.23
53,,Lebanon,5.00
54,,Lithuania,1.34
55,,Luxembourg,-
56,,Malaysia,0.93
57,,Malta,5.57
58,,Mauritius,-
59,,Mexico,1.36
60,,Moldova,1.43
61,,Montenegro,1.11
62,,Morocco,0.71
63,,Nepal,2.07
64,,Netherlands,3.63
65,,New Zealand,2.03
66,,Nigeria,1.29
67,,North Macedonia,0.90
68,,Norway,10.34
69,,Oman,3.90
70,,Pakistan,0.74
71,,Panama,2.00
72,,Peru,2.03
73,,Philippines,0.80
74,,Poland,2.01
75,,Portugal,3.90
76,,Puerto Rico,-
77,,Qatar,2.73
78,,Romania,0.57
79,,Russia,1.43
80,,Saudi Arabia,2.66
81,,Serbia,1.61
82,,Singapore,2.63
83,,Slovakia,3.34
84,,Slovenia,1.11
85,,South Africa,1.15
86,,South Korea,2.93
87,,Spain,3.56
88,,Sri Lanka,0.32
89,,Sweden,5.33
90,,Switzerland,6.77
91,,Syria,-
92,,Taiwan,2.51
93,,Tanzania,2.16
94,,Thailand,1.10
95,,Trinidad And Tobago,-
96,,Tunisia,0.19
97,,Turkey,0.73
98,,Uganda,0.79
99,,Ukraine,1.67
100,,United Arab Emirates,3.27
101,,United Kingdom,3.71
102,,United States,3.50
103,,Uruguay,1.11
104,,Uzbekistan,0.65
105,,Venezuela,2.13
106,,Vietnam,0.52
