,Rank,City,Water (1.5 liter bottle)
0,,Albania,0.50
1,,Algeria,0.28
2,,Argentina,1.15
3,,Armenia,0.52
4,,Australia,1.68
5,,Austria,0.71
6,,Azerbaijan,0.44
7,,Bahamas,-
8,,Bahrain,0.67
9,,Bangladesh,0.32
10,,Belarus,0.57
11,,Belgium,0.94
12,,Belize,-
13,,Bolivia,-
14,,Bosnia And Herzegovina,0.57
15,,Brazil,0.78
16,,Bulgaria,0.53
17,,Cambodia,0.53
18,,Canada,1.79
19,,Chile,1.32
20,,China,0.63
21,,Colombia,0.92
22,,Costa Rica,2.16
23,,Croatia,1.10
24,,Cyprus,0.80
25,,Czech Republic,0.57
26,,Denmark,1.54
27,,Dominican Republic,1.36
28,,Ecuador,1.01
29,,Egypt,0.27
30,,El Salvador,-
31,,Estonia,0.66
32,,Fiji,0.71
33,,Finland,1.46
34,,France,0.71
35,,Georgia,0.49
36,,Germany,0.58
37,,Ghana,-
38,,Greece,0.92
39,,Guatemala,0.80
40,,Hong Kong,2.14
41,,Hungary,0.39
42,,Iceland,1.71
43,,India,0.42
44,,Indonesia,0.45
45,,Iran,0.43
46,,Iraq,0.68
47,,Ireland,1.59
48,,Israel,1.18
49,,Italy,0.45
50,,Jamaica,1.15
51,,Japan,1.28
52,,Jordan,0.62
53,,Kazakhstan,0.53
54,,Kenya,0.93
55,,Kosovo (Disputed Territory),0.52
56,,Kuwait,0.48
57,,Latvia,0.69
58,,Lebanon,0.76
59,,Lithuania,0.82
60,,Luxembourg,1.41
61,,Macedonia,0.44
62,,Malaysia,0.53
63,,Malta,0.69
64,,Mauritius,-
65,,Mexico,0.73
66,,Moldova,0.60
67,,Montenegro,0.76
68,,Morocco,0.62
69,,Namibia,-
70,,Nepal,0.31
71,,Netherlands,1.06
72,,New Zealand,1.24
73,,Nigeria,0.44
74,,Norway,2.60
75,,Oman,0.51
76,,Pakistan,0.47
77,,Panama,1.71
78,,Peru,1.02
79,,Philippines,0.73
80,,Poland,0.51
81,,Portugal,0.68
82,,Puerto Rico,1.45
83,,Qatar,0.51
84,,Romania,0.59
85,,Russia,0.62
86,,Saudi Arabia,0.57
87,,Serbia,0.50
88,,Singapore,1.13
89,,Slovakia,0.69
90,,Slovenia,0.74
91,,South Africa,1.16
92,,South Korea,1.29
93,,Spain,0.66
94,,Sri Lanka,0.63
95,,Sweden,1.63
96,,Switzerland,1.31
97,,Taiwan,1.12
98,,Tanzania,0.47
99,,Thailand,0.51
100,,Trinidad And Tobago,1.10
101,,Tunisia,0.27
102,,Turkey,0.39
103,,Uganda,0.56
104,,Ukraine,0.45
105,,United Arab Emirates,0.50
106,,United Kingdom,1.26
107,,United States,1.73
108,,Uruguay,1.35
109,,Uzbekistan,0.35
110,,Venezuela,0.67
111,,Vietnam,0.48
112,,Zimbabwe,1.57
