,Rank,City,Loaf of Fresh White Bread (500g)
0,,Albania,0.66
1,,Algeria,0.13
2,,Argentina,1.22
3,,Armenia,-
4,,Australia,1.98
5,,Austria,2.06
6,,Azerbaijan,0.29
7,,Bahrain,1.12
8,,Bangladesh,0.66
9,,Belarus,0.60
10,,Belgium,1.83
11,,Bolivia,1.16
12,,Bosnia And Herzegovina,0.61
13,,Brazil,1.42
14,,Brunei,-
15,,Bulgaria,0.62
16,,Cambodia,1.39
17,,Canada,2.15
18,,Chile,1.40
19,,China,1.49
20,,Colombia,0.82
21,,Costa Rica,1.66
22,,Croatia,1.00
23,,Cyprus,1.62
24,,Czech Republic,1.02
25,,Denmark,2.73
26,,Dominican Republic,1.50
27,,Ecuador,1.54
28,,Egypt,0.58
29,,El Salvador,-
30,,Estonia,0.95
31,,Ethiopia,0.87
32,,Finland,2.33
33,,France,1.58
34,,Georgia,0.35
35,,Germany,1.58
36,,Greece,0.97
37,,Guatemala,-
38,,Honduras,1.47
39,,Hong Kong,1.93
40,,Hungary,0.74
41,,Iceland,3.30
42,,India,0.46
43,,Indonesia,1.06
44,,Iran,0.41
45,,Iraq,0.85
46,,Ireland,1.64
47,,Israel,2.10
48,,Italy,1.78
49,,Jamaica,1.92
50,,Japan,1.89
51,,Jordan,0.47
52,,Kazakhstan,0.29
53,,Kenya,0.57
54,,Kosovo (Disputed Territory),0.63
55,,Kuwait,0.98
56,,Latvia,0.98
57,,Lebanon,0.95
58,,Lithuania,0.99
59,,Luxembourg,2.61
60,,Macedonia,0.50
61,,Malaysia,0.80
62,,Malta,1.29
63,,Mauritius,-
64,,Mexico,1.53
65,,Moldova,0.40
66,,Montenegro,0.60
67,,Morocco,0.75
68,,Namibia,0.76
69,,Nepal,0.56
70,,Netherlands,1.52
71,,New Zealand,1.54
72,,Nigeria,0.97
73,,Norway,3.07
74,,Oman,1.28
75,,Pakistan,0.43
76,,Palestinian Territory,0.75
77,,Panama,1.93
78,,Peru,1.59
79,,Philippines,1.11
80,,Poland,0.79
81,,Portugal,1.22
82,,Puerto Rico,2.40
83,,Qatar,1.50
84,,Romania,0.64
85,,Russia,0.56
86,,Saudi Arabia,0.78
87,,Serbia,0.45
88,,Singapore,1.67
89,,Slovakia,1.01
90,,Slovenia,1.33
91,,South Africa,0.92
92,,South Korea,2.55
93,,Spain,1.05
94,,Sri Lanka,0.46
95,,Sweden,2.34
96,,Switzerland,2.83
97,,Taiwan,1.69
98,,Thailand,1.18
99,,Trinidad And Tobago,1.93
100,,Tunisia,0.10
101,,Turkey,0.41
102,,Uganda,0.84
103,,Ukraine,0.50
104,,United Arab Emirates,1.23
105,,United Kingdom,1.25
106,,United States,2.67
107,,Uruguay,2.09
108,,Uzbekistan,0.17
109,,Venezuela,1.21
110,,Vietnam,0.67
