,Rank,City,Cigarettes 20 Pack (Marlboro)
0,,Albania,2.52
1,,Algeria,2.31
2,,Argentina,3.27
3,,Armenia,1.25
4,,Australia,20.32
5,,Austria,5.60
6,,Azerbaijan,2.51
7,,Bahrain,3.71
8,,Bangladesh,2.60
9,,Belarus,1.35
10,,Belgium,7.28
11,,Bolivia,1.73
12,,Bosnia And Herzegovina,2.97
13,,Brazil,2.58
14,,Bulgaria,3.03
15,,Cambodia,1.50
16,,Canada,9.65
17,,Chile,5.12
18,,China,2.94
19,,Colombia,1.71
20,,Costa Rica,3.52
21,,Croatia,4.08
22,,Cyprus,5.26
23,,Czech Republic,4.28
24,,Denmark,6.62
25,,Dominican Republic,4.24
26,,Ecuador,5.00
27,,Egypt,1.76
28,,Estonia,4.48
29,,Finland,7.28
30,,France,7.84
31,,Georgia,1.66
32,,Germany,6.72
33,,Greece,5.04
34,,Guatemala,-
35,,Hong Kong,7.31
36,,Hungary,4.33
37,,Iceland,13.17
38,,India,3.11
39,,Indonesia,1.81
40,,Iran,2.47
41,,Iraq,2.13
42,,Ireland,12.65
43,,Israel,9.62
44,,Italy,5.82
45,,Jamaica,-
46,,Japan,4.08
47,,Jordan,3.03
48,,Kazakhstan,1.20
49,,Kenya,2.42
50,,Kosovo (Disputed Territory),2.58
51,,Kuwait,2.47
52,,Latvia,3.92
53,,Lebanon,2.30
54,,Lithuania,3.92
55,,Luxembourg,5.93
56,,Macedonia,2.18
57,,Malaysia,3.99
58,,Malta,6.38
59,,Mauritius,5.76
60,,Mexico,2.75
61,,Moldova,1.38
62,,Montenegro,2.91
63,,Morocco,3.38
64,,Nepal,1.95
65,,Netherlands,7.50
66,,New Zealand,18.03
67,,Nigeria,0.95
68,,Norway,13.53
69,,Oman,3.12
70,,Pakistan,1.43
71,,Panama,5.00
72,,Peru,3.06
73,,Philippines,1.31
74,,Poland,4.01
75,,Portugal,5.37
76,,Puerto Rico,9.00
77,,Qatar,2.73
78,,Romania,4.05
79,,Russia,2.10
80,,Saudi Arabia,6.40
81,,Serbia,2.74
82,,Singapore,9.39
83,,Slovakia,4.25
84,,Slovenia,4.48
85,,South Africa,3.10
86,,South Korea,4.00
87,,Spain,5.60
88,,Sri Lanka,7.21
89,,Sweden,6.88
90,,Switzerland,8.48
91,,Taiwan,3.16
92,,Tanzania,-
93,,Thailand,3.52
94,,Trinidad And Tobago,-
95,,Tunisia,2.47
96,,Turkey,3.68
97,,Ukraine,1.11
98,,United Arab Emirates,3.27
99,,United Kingdom,12.23
100,,United States,7.00
101,,Uruguay,4.48
102,,Venezuela,1.00
103,,Vietnam,1.06
104,,Zimbabwe,-
