,Rank,City,"1 Summer Dress in a Chain Store (Zara, H&M, ...)"
0,,Argentina,60.05
1,,Australia,70.82
2,,Austria,43.48
3,,Bangladesh,20.00
4,,Belgium,67.83
5,,Bosnia And Herzegovina,41.67
6,,Brazil,76.21
7,,Bulgaria,50.24
8,,Canada,44.01
9,,Chile,52.00
10,,China,51.47
11,,Colombia,62.56
12,,Costa Rica,50.00
13,,Croatia,45.40
14,,Cyprus,82.25
15,,Czech Republic,47.61
16,,Denmark,61.86
17,,Ecuador,85.00
18,,Egypt,71.25
19,,Estonia,72.46
20,,Finland,53.14
21,,France,48.44
22,,Germany,53.17
23,,Greece,57.25
24,,Hong Kong,55.41
25,,Hungary,64.75
26,,Iceland,80.68
27,,India,36.85
28,,Indonesia,40.43
29,,Iran,64.38
30,,Ireland,47.10
31,,Israel,73.35
32,,Italy,58.41
33,,Japan,69.60
34,,Jordan,55.71
35,,Latvia,64.60
36,,Lebanon,56.67
37,,Lithuania,69.96
38,,Macedonia,37.68
39,,Malaysia,52.50
40,,Malta,52.90
41,,Mexico,61.11
42,,Morocco,57.97
43,,Netherlands,69.17
44,,New Zealand,59.34
45,,Norway,70.07
46,,Pakistan,40.00
47,,Panama,43.33
48,,Peru,70.00
49,,Philippines,46.60
50,,Poland,49.20
51,,Portugal,45.40
52,,Puerto Rico,64.00
53,,Qatar,60.00
54,,Romania,51.70
55,,Russia,74.09
56,,Saudi Arabia,40.56
57,,Serbia,38.77
58,,Singapore,60.84
59,,Slovakia,73.04
60,,Slovenia,41.06
61,,South Africa,45.23
62,,South Korea,43.79
63,,Spain,45.28
64,,Sri Lanka,36.50
65,,Sweden,49.51
66,,Switzerland,75.64
67,,Syria,95.00
68,,Taiwan,49.95
69,,Thailand,53.59
70,,Tunisia,50.00
71,,Turkey,46.82
72,,Ukraine,62.11
73,,United Arab Emirates,41.00
74,,United Kingdom,52.76
75,,United States,37.50
76,,Uruguay,73.33
77,,Venezuela,77.00
78,,Vietnam,38.33
