,Rank,City,Domestic Beer (0.5 liter bottle)
0,,Albania,0.93
1,,Argentina,1.47
2,,Australia,4.68
3,,Austria,0.99
4,,Bahrain,1.45
5,,Bangladesh,2.68
6,,Belarus,0.80
7,,Belgium,1.42
8,,Bosnia And Herzegovina,0.80
9,,Brazil,1.60
10,,Bulgaria,0.67
11,,Cambodia,0.83
12,,Canada,2.82
13,,Chile,1.34
14,,China,0.81
15,,Colombia,1.09
16,,Costa Rica,1.80
17,,Croatia,1.14
18,,Cyprus,1.38
19,,Czech Republic,0.65
20,,Denmark,1.85
21,,Dominican Republic,1.86
22,,Ecuador,0.94
23,,Egypt,1.40
24,,Estonia,1.09
25,,Finland,2.86
26,,France,1.70
27,,Georgia,1.25
28,,Germany,0.99
29,,Greece,1.49
30,,Hong Kong,1.78
31,,Hungary,0.87
32,,Iceland,2.86
33,,India,1.35
34,,Indonesia,2.06
35,,Iran,7.51
36,,Iraq,3.33
37,,Ireland,3.05
38,,Israel,2.28
39,,Italy,1.44
40,,Japan,4.31
41,,Jordan,3.89
42,,Kazakhstan,1.14
43,,Kenya,1.34
44,,Kuwait,0.60
45,,Latvia,1.20
46,,Lebanon,1.00
47,,Lithuania,0.94
48,,Luxembourg,2.08
49,,Macedonia,0.72
50,,Malaysia,2.58
51,,Malta,1.19
52,,Mauritius,1.26
53,,Mexico,1.00
54,,Morocco,1.17
55,,Nepal,2.25
56,,Netherlands,1.11
57,,New Zealand,2.56
58,,Nigeria,1.94
59,,Norway,4.28
60,,Oman,2.00
61,,Pakistan,2.15
62,,Peru,1.47
63,,Philippines,0.89
64,,Poland,0.82
65,,Portugal,1.16
66,,Puerto Rico,1.44
67,,Qatar,6.42
68,,Romania,0.81
69,,Russia,1.13
70,,Saudi Arabia,1.23
71,,Serbia,0.67
72,,Singapore,4.06
73,,Slovakia,0.82
74,,Slovenia,1.28
75,,South Africa,1.28
76,,South Korea,1.82
77,,Spain,1.00
78,,Sri Lanka,1.03
79,,Sweden,2.03
80,,Switzerland,1.51
81,,Taiwan,1.17
82,,Tanzania,1.14
83,,Thailand,1.38
84,,Tunisia,0.94
85,,Turkey,2.09
86,,Ukraine,0.75
87,,United Arab Emirates,6.40
88,,United Kingdom,2.48
89,,United States,2.19
90,,Uruguay,2.21
91,,Venezuela,3.04
92,,Vietnam,0.68
