,Rank,City,Price per Square Meter to Buy Apartment in City Centre
0,,Albania,1401.59
1,,Algeria,1824.96
2,,Argentina,2463.71
3,,Armenia,1151.20
4,,Australia,6063.78
5,,Austria,4638.31
6,,Azerbaijan,1679.44
7,,Bahrain,-
8,,Bangladesh,1229.18
9,,Belarus,1534.92
10,,Belgium,3501.78
11,,Bolivia,1144.73
12,,Bosnia And Herzegovina,1342.47
13,,Brazil,2209.42
14,,Bulgaria,1174.29
15,,Cambodia,1062.50
16,,Canada,3950.26
17,,Chile,1981.64
18,,China,8295.45
19,,Colombia,1544.87
20,,Costa Rica,1692.39
21,,Croatia,2195.60
22,,Cyprus,1593.29
23,,Czech Republic,2624.08
24,,Denmark,5513.40
25,,Dominican Republic,1178.94
26,,Ecuador,1395.29
27,,Egypt,813.67
28,,El Salvador,-
29,,Estonia,2594.27
30,,Finland,5555.44
31,,France,6818.26
32,,Georgia,947.82
33,,Germany,4985.67
34,,Greece,1553.16
35,,Guatemala,-
36,,Hong Kong,23783.81
37,,Hungary,1729.75
38,,Iceland,3457.52
39,,India,1571.35
40,,Indonesia,1900.44
41,,Iran,1726.95
42,,Iraq,1435.32
43,,Ireland,5012.22
44,,Israel,6348.32
45,,Italy,5481.57
46,,Jamaica,-
47,,Japan,9838.85
48,,Jordan,1268.66
49,,Kazakhstan,1158.63
50,,Kenya,-
51,,Kosovo (Disputed Territory),1450.54
52,,Kuwait,4316.07
53,,Latvia,1798.40
54,,Lebanon,4006.25
55,,Lithuania,2429.31
56,,Luxembourg,8812.01
57,,Macedonia,1214.09
58,,Malaysia,2344.83
59,,Malta,2463.96
60,,Mauritius,-
61,,Mexico,1074.01
62,,Moldova,818.34
63,,Montenegro,2043.36
64,,Morocco,1627.38
65,,Nepal,-
66,,Netherlands,4910.39
67,,New Zealand,5234.03
68,,Nigeria,1884.61
69,,Norway,7117.93
70,,Oman,-
71,,Pakistan,767.93
72,,Panama,2109.38
73,,Peru,2135.83
74,,Philippines,1265.70
75,,Poland,2096.66
76,,Portugal,2228.80
77,,Puerto Rico,1976.81
78,,Qatar,4272.66
79,,Romania,1416.69
80,,Russia,1829.99
81,,Saudi Arabia,1137.67
82,,Serbia,1912.84
83,,Singapore,17951.00
84,,Slovakia,2345.77
85,,Slovenia,2439.51
86,,South Africa,999.05
87,,South Korea,7879.46
88,,Spain,3518.25
89,,Sri Lanka,1434.36
90,,Sweden,8502.39
91,,Switzerland,13146.13
92,,Taiwan,7877.94
93,,Thailand,3375.90
94,,Trinidad And Tobago,-
95,,Tunisia,1011.06
96,,Turkey,1734.31
97,,Ukraine,1232.00
98,,United Arab Emirates,4564.22
99,,United Kingdom,10691.87
100,,United States,2486.97
101,,Uruguay,2296.87
102,,Venezuela,1344.58
103,,Vietnam,1789.88
104,,Zimbabwe,-
