,Rank,City,"Milk (regular), (1 liter)"
0,,Algeria,0.48
1,,Argentina,1.31
2,,Australia,1.46
3,,Austria,1.24
4,,Azerbaijan,1.60
5,,Bahrain,1.59
6,,Bangladesh,0.80
7,,Belarus,0.89
8,,Belgium,1.12
9,,Bosnia And Herzegovina,0.97
10,,Brazil,1.20
11,,Bulgaria,1.26
12,,Canada,1.97
13,,Chile,1.35
14,,China,2.11
15,,Colombia,1.18
16,,Costa Rica,1.43
17,,Croatia,1.08
18,,Cyprus,1.73
19,,Czech Republic,0.90
20,,Denmark,1.12
21,,Dominican Republic,1.32
22,,Ecuador,1.02
23,,Egypt,1.09
24,,Estonia,0.80
25,,Ethiopia,0.87
26,,Finland,1.37
27,,France,1.27
28,,Georgia,1.50
29,,Germany,0.96
30,,Ghana,1.94
31,,Greece,1.61
32,,Hong Kong,2.78
33,,Hungary,0.95
34,,Iceland,1.05
35,,India,0.64
36,,Indonesia,1.39
37,,Iran,0.89
38,,Iraq,1.26
39,,Ireland,1.37
40,,Israel,1.67
41,,Italy,1.64
42,,Jamaica,2.44
43,,Japan,1.87
44,,Jordan,1.46
45,,Kazakhstan,1.40
46,,Kenya,0.97
47,,Kuwait,1.45
48,,Latvia,1.20
49,,Lebanon,1.97
50,,Lithuania,1.07
51,,Luxembourg,1.34
52,,Macedonia,1.03
53,,Malaysia,1.89
54,,Malta,1.18
55,,Mexico,1.08
56,,Moldova,0.76
57,,Morocco,0.81
58,,Nepal,0.57
59,,Netherlands,1.10
60,,New Zealand,2.04
61,,Nigeria,2.44
62,,Norway,2.46
63,,Oman,2.16
64,,Pakistan,0.81
65,,Panama,1.39
66,,Peru,1.45
67,,Philippines,1.78
68,,Poland,0.77
69,,Portugal,0.79
70,,Puerto Rico,1.63
71,,Qatar,1.65
72,,Romania,1.21
73,,Russia,1.29
74,,Saudi Arabia,1.07
75,,Serbia,1.02
76,,Singapore,2.32
77,,Slovakia,0.94
78,,Slovenia,1.09
79,,South Africa,1.07
80,,South Korea,2.14
81,,Spain,1.03
82,,Sri Lanka,1.26
83,,Sweden,1.36
84,,Switzerland,1.52
85,,Syria,0.93
86,,Taiwan,2.69
87,,Tanzania,1.06
88,,Thailand,1.53
89,,Trinidad And Tobago,1.90
90,,Tunisia,0.69
91,,Turkey,1.07
92,,Ukraine,1.11
93,,United Arab Emirates,1.45
94,,United Kingdom,1.40
95,,United States,1.02
96,,Uruguay,0.98
97,,Venezuela,1.97
98,,Vietnam,1.39
