,Rank,City,Taxi 1km (Normal Tariff)
0,,Algeria,0.51
1,,Argentina,1.05
2,,Australia,1.92
3,,Austria,1.84
4,,Azerbaijan,0.90
5,,Bahrain,-
6,,Bangladesh,0.46
7,,Belarus,0.50
8,,Belgium,2.34
9,,Bosnia And Herzegovina,0.67
10,,Brazil,1.17
11,,Bulgaria,0.53
12,,Canada,1.77
13,,Chile,1.65
14,,China,0.39
15,,Colombia,0.53
16,,Costa Rica,1.53
17,,Croatia,0.87
18,,Cyprus,1.69
19,,Czech Republic,1.27
20,,Denmark,2.44
21,,Dominican Republic,2.46
22,,Ecuador,1.00
23,,Egypt,0.18
24,,Estonia,0.75
25,,Ethiopia,-
26,,Finland,1.97
27,,France,1.95
28,,Georgia,0.42
29,,Germany,2.14
30,,Ghana,2.37
31,,Greece,1.30
32,,Hong Kong,1.01
33,,Hungary,1.23
34,,Iceland,2.47
35,,India,0.28
36,,Indonesia,0.37
37,,Iran,0.30
38,,Iraq,1.72
39,,Ireland,1.34
40,,Israel,1.09
41,,Italy,1.93
42,,Jamaica,1.13
43,,Japan,2.92
44,,Jordan,0.70
45,,Kazakhstan,1.34
46,,Kenya,1.20
47,,Kuwait,-
48,,Latvia,0.88
49,,Lebanon,3.16
50,,Lithuania,0.78
51,,Luxembourg,3.25
52,,Macedonia,0.50
53,,Malaysia,0.52
54,,Malta,-
55,,Mexico,0.45
56,,Moldova,0.24
57,,Morocco,0.52
58,,Nepal,0.45
59,,Netherlands,2.53
60,,New Zealand,2.24
61,,Nigeria,3.21
62,,Norway,2.21
63,,Oman,-
64,,Pakistan,0.41
65,,Panama,1.50
66,,Peru,1.49
67,,Philippines,0.33
68,,Poland,0.73
69,,Portugal,0.65
70,,Puerto Rico,1.53
71,,Qatar,0.55
72,,Romania,0.51
73,,Russia,0.56
74,,Saudi Arabia,0.67
75,,Serbia,0.75
76,,Singapore,0.48
77,,Slovakia,1.04
78,,Slovenia,1.30
79,,South Africa,0.99
80,,South Korea,1.12
81,,Spain,1.30
82,,Sri Lanka,0.37
83,,Sweden,1.81
84,,Switzerland,3.96
85,,Syria,0.36
86,,Taiwan,0.68
87,,Tanzania,1.88
88,,Thailand,0.17
89,,Trinidad And Tobago,0.79
90,,Tunisia,0.31
91,,Turkey,1.06
92,,Ukraine,0.37
93,,United Arab Emirates,0.47
94,,United Kingdom,1.87
95,,United States,1.50
96,,Uruguay,3.04
97,,Venezuela,-
98,,Vietnam,0.62
