,Rank,City,"Milk (regular), (1 liter)"
0,,Argentina,1.06
1,,Australia,1.68
2,,Austria,1.44
3,,Bangladesh,0.76
4,,Belgium,1.26
5,,Bosnia And Herzegovina,1.01
6,,Brazil,1.36
7,,Bulgaria,1.32
8,,Canada,2.07
9,,Chile,1.28
10,,China,1.73
11,,Colombia,1.21
12,,Costa Rica,1.33
13,,Croatia,1.12
14,,Cyprus,2.08
15,,Czech Republic,0.91
16,,Denmark,1.21
17,,Ecuador,0.71
18,,Egypt,1.22
19,,Estonia,1.00
20,,Finland,1.32
21,,France,1.50
22,,Germany,1.05
23,,Greece,1.78
24,,Hong Kong,3.05
25,,Hungary,1.16
26,,Iceland,1.11
27,,India,0.67
28,,Indonesia,1.62
29,,Iran,0.96
30,,Ireland,1.75
31,,Israel,1.65
32,,Italy,1.87
33,,Japan,2.50
34,,Jordan,1.48
35,,Latvia,1.32
36,,Lebanon,2.17
37,,Lithuania,1.11
38,,Macedonia,1.19
39,,Malaysia,1.68
40,,Malta,1.28
41,,Mexico,1.10
42,,Morocco,0.98
43,,Netherlands,1.06
44,,New Zealand,2.05
45,,Norway,2.62
46,,Pakistan,0.88
47,,Panama,0.97
48,,Peru,1.02
49,,Philippines,1.63
50,,Poland,0.88
51,,Portugal,0.94
52,,Puerto Rico,1.63
53,,Qatar,1.78
54,,Romania,1.24
55,,Russia,1.27
56,,Saudi Arabia,1.10
57,,Serbia,1.05
58,,Singapore,2.15
59,,Slovakia,0.98
60,,Slovenia,1.22
61,,South Africa,1.42
62,,South Korea,1.78
63,,Spain,1.11
64,,Sri Lanka,1.22
65,,Sweden,1.35
66,,Switzerland,1.68
67,,Syria,1.01
68,,Taiwan,2.17
69,,Thailand,1.58
70,,Tunisia,0.74
71,,Turkey,1.17
72,,Ukraine,1.05
73,,United Arab Emirates,1.32
74,,United Kingdom,1.58
75,,United States,0.98
76,,Uruguay,0.99
77,,Venezuela,1.36
78,,Vietnam,1.49
