,Rank,City,Gasoline (1 liter)
0,,Algeria,0.28
1,,Argentina,1.30
2,,Australia,1.46
3,,Austria,1.83
4,,Azerbaijan,0.81
5,,Bahrain,0.25
6,,Bangladesh,1.29
7,,Belarus,0.94
8,,Belgium,2.06
9,,Bosnia And Herzegovina,1.62
10,,Brazil,1.34
11,,Bulgaria,1.74
12,,Canada,1.26
13,,Chile,1.62
14,,China,1.29
15,,Colombia,1.21
16,,Costa Rica,1.48
17,,Croatia,1.83
18,,Cyprus,1.81
19,,Czech Republic,1.86
20,,Denmark,2.11
21,,Dominican Republic,1.66
22,,Ecuador,0.39
23,,Egypt,0.28
24,,Estonia,1.70
25,,Ethiopia,1.10
26,,Finland,2.17
27,,France,2.00
28,,Georgia,1.27
29,,Germany,2.07
30,,Ghana,1.20
31,,Greece,2.21
32,,Hong Kong,2.16
33,,Hungary,1.83
34,,Iceland,2.03
35,,India,1.32
36,,Indonesia,0.67
37,,Iran,0.33
38,,Iraq,0.44
39,,Ireland,2.07
40,,Israel,2.08
41,,Italy,2.29
42,,Jamaica,1.32
43,,Japan,1.51
44,,Jordan,1.31
45,,Kazakhstan,0.82
46,,Kenya,1.32
47,,Kuwait,0.22
48,,Latvia,1.77
49,,Lebanon,1.19
50,,Lithuania,1.86
51,,Luxembourg,1.66
52,,Macedonia,1.73
53,,Malaysia,0.67
54,,Malta,1.89
55,,Mexico,0.91
56,,Moldova,1.38
57,,Morocco,1.30
58,,Nepal,1.39
59,,Netherlands,2.28
60,,New Zealand,1.74
61,,Nigeria,0.62
62,,Norway,2.52
63,,Oman,0.32
64,,Pakistan,1.10
65,,Panama,1.12
66,,Peru,1.56
67,,Philippines,1.24
68,,Poland,1.70
69,,Portugal,2.12
70,,Puerto Rico,0.96
71,,Qatar,0.27
72,,Romania,1.77
73,,Russia,0.98
74,,Saudi Arabia,0.13
75,,Serbia,1.77
76,,Singapore,1.67
77,,Slovakia,1.93
78,,Slovenia,1.96
79,,South Africa,1.28
80,,South Korea,1.77
81,,Spain,1.88
82,,Sri Lanka,1.28
83,,Sweden,2.18
84,,Switzerland,1.91
85,,Syria,0.86
86,,Taiwan,1.19
87,,Tanzania,1.31
88,,Thailand,1.32
89,,Trinidad And Tobago,0.72
90,,Tunisia,0.95
91,,Turkey,2.60
92,,Ukraine,1.41
93,,United Arab Emirates,0.48
94,,United Kingdom,2.09
95,,United States,0.96
96,,Uruguay,1.95
97,,Venezuela,0.07
98,,Vietnam,1.16
