,Rank,City,Imported Beer (0.33 liter bottle)
0,,Albania,1.76
1,,Algeria,2.15
2,,Argentina,3.20
3,,Armenia,2.07
4,,Australia,6.42
5,,Austria,4.50
6,,Azerbaijan,1.76
7,,Bahamas,5.00
8,,Bahrain,10.59
9,,Bangladesh,4.44
10,,Belarus,2.50
11,,Belgium,3.50
12,,Belize,3.00
13,,Bolivia,2.44
14,,Bosnia And Herzegovina,1.79
15,,Brazil,4.03
16,,Bulgaria,1.79
17,,Cambodia,2.00
18,,Canada,5.40
19,,Chile,3.96
20,,China,3.12
21,,Colombia,2.35
22,,Costa Rica,4.35
23,,Croatia,2.85
24,,Cyprus,4.67
25,,Czech Republic,1.81
26,,Denmark,6.28
27,,Dominican Republic,3.03
28,,Ecuador,2.75
29,,Egypt,2.21
30,,El Salvador,2.50
31,,Estonia,4.09
32,,Fiji,4.72
33,,Finland,7.01
34,,France,5.84
35,,Georgia,1.69
36,,Germany,3.74
37,,Ghana,1.28
38,,Greece,4.67
39,,Guatemala,3.34
40,,Hong Kong,7.65
41,,Hungary,1.83
42,,Iceland,9.56
43,,India,2.97
44,,Indonesia,3.60
45,,Iran,1.18
46,,Iraq,2.25
47,,Ireland,5.84
48,,Israel,7.58
49,,Italy,4.67
50,,Jamaica,2.53
51,,Japan,3.67
52,,Jordan,7.05
53,,Kazakhstan,1.82
54,,Kenya,2.71
55,,Kosovo (Disputed Territory),1.87
56,,Kuwait,-
57,,Latvia,2.34
58,,Lebanon,4.00
59,,Lithuania,3.50
60,,Luxembourg,5.26
61,,Macedonia,1.90
62,,Malaysia,3.77
63,,Malta,3.27
64,,Mauritius,3.55
65,,Mexico,2.51
66,,Moldova,1.62
67,,Montenegro,2.34
68,,Morocco,3.26
69,,Namibia,1.98
70,,Nepal,3.25
71,,Netherlands,4.38
72,,New Zealand,6.29
73,,Nigeria,1.39
74,,Norway,9.77
75,,Oman,7.79
76,,Pakistan,2.59
77,,Panama,4.00
78,,Peru,3.67
79,,Philippines,1.71
80,,Poland,2.16
81,,Portugal,2.34
82,,Puerto Rico,3.00
83,,Qatar,10.99
84,,Romania,2.26
85,,Russia,2.40
86,,Saudi Arabia,1.33
87,,Serbia,1.98
88,,Singapore,7.47
89,,Slovakia,2.04
90,,Slovenia,3.50
91,,South Africa,2.76
92,,South Korea,4.65
93,,Spain,3.50
94,,Sri Lanka,2.85
95,,Sweden,7.31
96,,Switzerland,6.07
97,,Taiwan,2.68
98,,Tanzania,1.75
99,,Thailand,3.74
100,,Trinidad And Tobago,2.30
101,,Tunisia,1.37
102,,Turkey,3.31
103,,Uganda,1.59
104,,Ukraine,1.34
105,,United Arab Emirates,10.89
106,,United Kingdom,5.30
107,,United States,6.00
108,,Uruguay,3.22
109,,Uzbekistan,2.00
110,,Venezuela,2.00
111,,Vietnam,1.76
112,,Zimbabwe,3.00
