,Rank,City,Oranges (1kg)
0,,Algeria,1.63
1,,Argentina,1.44
2,,Australia,3.58
3,,Austria,2.71
4,,Azerbaijan,2.64
5,,Bahrain,1.96
6,,Bangladesh,2.06
7,,Belarus,2.13
8,,Belgium,3.31
9,,Bosnia And Herzegovina,1.63
10,,Brazil,1.36
11,,Bulgaria,1.44
12,,Canada,3.29
13,,Chile,1.35
14,,China,1.84
15,,Colombia,2.02
16,,Costa Rica,4.31
17,,Croatia,1.71
18,,Cyprus,1.69
19,,Czech Republic,1.61
20,,Denmark,3.48
21,,Dominican Republic,3.13
22,,Ecuador,1.56
23,,Egypt,0.61
24,,Estonia,1.95
25,,Ethiopia,1.11
26,,Finland,3.20
27,,France,3.03
28,,Georgia,1.42
29,,Germany,2.92
30,,Ghana,-
31,,Greece,1.31
32,,Hong Kong,2.76
33,,Hungary,1.58
34,,Iceland,1.93
35,,India,1.27
36,,Indonesia,2.12
37,,Iran,1.30
38,,Iraq,1.58
39,,Ireland,3.11
40,,Israel,1.53
41,,Italy,2.38
42,,Jamaica,2.02
43,,Japan,4.44
44,,Jordan,1.65
45,,Kazakhstan,2.75
46,,Kenya,2.59
47,,Kuwait,2.36
48,,Latvia,1.96
49,,Lebanon,1.73
50,,Lithuania,1.89
51,,Luxembourg,3.46
52,,Macedonia,1.12
53,,Malaysia,2.31
54,,Malta,2.16
55,,Mexico,0.97
56,,Moldova,1.85
57,,Morocco,0.79
58,,Nepal,0.99
59,,Netherlands,2.75
60,,New Zealand,2.73
61,,Nigeria,2.02
62,,Norway,3.63
63,,Oman,1.20
64,,Pakistan,0.98
65,,Panama,1.22
66,,Peru,1.86
67,,Philippines,1.98
68,,Poland,1.45
69,,Portugal,1.48
70,,Puerto Rico,4.02
71,,Qatar,1.70
72,,Romania,1.38
73,,Russia,2.05
74,,Saudi Arabia,1.31
75,,Serbia,1.34
76,,Singapore,3.02
77,,Slovakia,1.55
78,,Slovenia,1.61
79,,South Africa,1.35
80,,South Korea,5.19
81,,Spain,1.67
82,,Sri Lanka,2.75
83,,Sweden,2.95
84,,Switzerland,4.05
85,,Syria,0.91
86,,Taiwan,2.56
87,,Tanzania,1.54
88,,Thailand,1.87
89,,Trinidad And Tobago,-
90,,Tunisia,1.07
91,,Turkey,1.21
92,,Ukraine,1.81
93,,United Arab Emirates,1.69
94,,United Kingdom,2.70
95,,United States,3.61
96,,Uruguay,1.80
97,,Venezuela,3.69
98,,Vietnam,1.85
