,Rank,City,Price per Square Meter to Buy Apartment in City Centre
0,,Algeria,1811.45
1,,Argentina,2191.28
2,,Australia,7299.64
3,,Austria,6160.26
4,,Azerbaijan,2314.39
5,,Bahrain,-
6,,Bangladesh,893.30
7,,Belarus,1974.84
8,,Belgium,3158.55
9,,Bosnia And Herzegovina,1592.64
10,,Brazil,3198.95
11,,Bulgaria,1125.95
12,,Canada,3891.17
13,,Chile,1897.34
14,,China,5294.91
15,,Colombia,1323.80
16,,Costa Rica,-
17,,Croatia,2589.82
18,,Cyprus,2359.31
19,,Czech Republic,3068.46
20,,Denmark,4006.97
21,,Dominican Republic,1772.11
22,,Ecuador,1093.75
23,,Egypt,754.18
24,,Estonia,2467.53
25,,Ethiopia,933.82
26,,Finland,5002.68
27,,France,7421.45
28,,Georgia,1236.62
29,,Germany,3971.86
30,,Ghana,-
31,,Greece,2192.73
32,,Hong Kong,17746.76
33,,Hungary,1498.59
34,,Iceland,2950.41
35,,India,1397.84
36,,Indonesia,1793.43
37,,Iran,2600.24
38,,Iraq,1129.13
39,,Ireland,4787.88
40,,Israel,5921.18
41,,Italy,6396.94
42,,Jamaica,-
43,,Japan,5640.16
44,,Jordan,1177.06
45,,Kazakhstan,2113.29
46,,Kenya,-
47,,Kuwait,-
48,,Latvia,3575.19
49,,Lebanon,5129.94
50,,Lithuania,2186.88
51,,Luxembourg,7359.31
52,,Macedonia,1320.20
53,,Malaysia,2514.54
54,,Malta,-
55,,Mexico,1084.40
56,,Moldova,1137.41
57,,Morocco,1603.16
58,,Nepal,-
59,,Netherlands,3711.47
60,,New Zealand,3653.83
61,,Nigeria,2794.71
62,,Norway,8001.91
63,,Oman,-
64,,Pakistan,937.94
65,,Panama,1966.67
66,,Peru,2164.18
67,,Philippines,1805.06
68,,Poland,2239.13
69,,Portugal,2287.05
70,,Puerto Rico,2250.91
71,,Qatar,-
72,,Romania,1427.50
73,,Russia,3022.77
74,,Saudi Arabia,1282.22
75,,Serbia,2038.84
76,,Singapore,15341.39
77,,Slovakia,1983.02
78,,Slovenia,3062.06
79,,South Africa,1227.74
80,,South Korea,5511.13
81,,Spain,4080.24
82,,Sri Lanka,892.76
83,,Sweden,7679.68
84,,Switzerland,9449.40
85,,Syria,2530.28
86,,Taiwan,6274.26
87,,Tanzania,-
88,,Thailand,3186.86
89,,Trinidad And Tobago,-
90,,Tunisia,1051.71
91,,Turkey,1638.50
92,,Ukraine,1698.27
93,,United Arab Emirates,5167.30
94,,United Kingdom,5626.40
95,,United States,2063.70
96,,Uruguay,2340.90
97,,Venezuela,2014.19
98,,Vietnam,1744.95
