,Rank,City,McMeal at McDonalds (or Equivalent Combo Meal)
0,,Argentina,8.00
1,,Australia,8.51
2,,Austria,9.75
3,,Bangladesh,6.00
4,,Belgium,10.14
5,,Bosnia And Herzegovina,5.80
6,,Brazil,9.49
7,,Bulgaria,5.15
8,,Canada,7.73
9,,Chile,6.00
10,,China,4.64
11,,Colombia,6.00
12,,Costa Rica,6.25
13,,Croatia,7.42
14,,Cyprus,8.36
15,,Czech Republic,7.05
16,,Denmark,11.61
17,,Ecuador,5.00
18,,Egypt,5.00
19,,Estonia,6.52
20,,Finland,10.51
21,,France,10.14
22,,Germany,8.70
23,,Greece,8.70
24,,Hong Kong,4.05
25,,Hungary,7.36
26,,Iceland,10.49
27,,India,4.00
28,,Indonesia,4.68
29,,Iran,5.00
30,,Ireland,10.14
31,,Israel,11.70
32,,Italy,9.71
33,,Japan,7.98
34,,Jordan,5.50
35,,Latvia,7.55
36,,Lebanon,7.00
37,,Lithuania,5.56
38,,Macedonia,6.16
39,,Malaysia,4.00
40,,Malta,10.14
41,,Mexico,5.35
42,,Morocco,7.25
43,,Netherlands,9.42
44,,New Zealand,8.20
45,,Norway,16.79
46,,Pakistan,5.00
47,,Panama,4.50
48,,Peru,5.00
49,,Philippines,2.78
50,,Poland,5.84
51,,Portugal,7.25
52,,Puerto Rico,6.12
53,,Qatar,6.28
54,,Romania,5.59
55,,Russia,7.15
56,,Saudi Arabia,5.00
57,,Serbia,5.07
58,,Singapore,5.69
59,,Slovakia,6.38
60,,Slovenia,7.25
61,,South Africa,5.62
62,,South Korea,5.12
63,,Spain,9.42
64,,Sri Lanka,3.99
65,,Sweden,10.57
66,,Switzerland,14.12
67,,Syria,5.00
68,,Taiwan,4.00
69,,Thailand,4.31
70,,Tunisia,5.00
71,,Turkey,6.29
72,,Ukraine,4.07
73,,United Arab Emirates,5.37
74,,United Kingdom,8.20
75,,United States,6.00
76,,Uruguay,8.75
77,,Venezuela,6.00
78,,Vietnam,3.00
