,Rank,City,Water (0.33 liter bottle)
0,,Argentina,0.89
1,,Australia,2.03
2,,Austria,0.99
3,,Belgium,2.24
4,,Bosnia And Herzegovina,1.31
5,,Brazil,0.76
6,,Bulgaria,0.62
7,,Canada,1.45
8,,Chile,1.10
9,,China,0.33
10,,Colombia,0.75
11,,Croatia,1.50
12,,Czech Republic,1.08
13,,Denmark,2.07
14,,Ecuador,0.70
15,,Egypt,0.23
16,,Estonia,0.95
17,,Finland,1.69
18,,France,1.72
19,,Germany,2.13
20,,Greece,0.62
21,,Hong Kong,0.79
22,,Hungary,0.87
23,,India,0.26
24,,Indonesia,0.30
25,,Iran,0.31
26,,Ireland,1.60
27,,Israel,1.83
28,,Italy,1.60
29,,Japan,1.23
30,,Jordan,0.63
31,,Kazakhstan,0.67
32,,Lithuania,0.54
33,,Malaysia,0.34
34,,Malta,1.39
35,,Mexico,0.67
36,,Morocco,0.68
37,,Netherlands,1.85
38,,New Zealand,1.67
39,,Norway,3.31
40,,Pakistan,0.22
41,,Panama,0.55
42,,Philippines,0.38
43,,Poland,0.85
44,,Portugal,1.08
45,,Puerto Rico,1.10
46,,Qatar,0.27
47,,Romania,0.89
48,,Russia,0.83
49,,Saudi Arabia,0.32
50,,Serbia,0.74
51,,Singapore,0.89
52,,Slovakia,1.23
53,,Slovenia,1.14
54,,South Africa,0.98
55,,South Korea,0.97
56,,Spain,1.34
57,,Sweden,2.09
58,,Switzerland,2.51
59,,Syria,0.43
60,,Taiwan,0.56
61,,Thailand,0.31
62,,Turkey,0.50
63,,Ukraine,1.10
64,,United Arab Emirates,0.60
65,,United Kingdom,1.34
66,,United States,1.20
67,,Vietnam,0.37
