,Rank,City,Potato (1kg)
0,,Albania,0.47
1,,Algeria,0.53
2,,Argentina,1.07
3,,Armenia,0.47
4,,Australia,2.33
5,,Austria,1.63
6,,Azerbaijan,0.55
7,,Bahrain,0.85
8,,Bangladesh,0.29
9,,Belarus,0.39
10,,Belgium,1.50
11,,Bolivia,0.91
12,,Bosnia And Herzegovina,0.52
13,,Brazil,0.97
14,,Bulgaria,0.58
15,,Cambodia,1.34
16,,Canada,1.65
17,,Chile,0.98
18,,China,0.91
19,,Colombia,0.77
20,,Costa Rica,2.12
21,,Croatia,0.68
22,,Cyprus,0.84
23,,Czech Republic,0.72
24,,Denmark,1.67
25,,Dominican Republic,1.06
26,,Ecuador,1.04
27,,Egypt,0.31
28,,Estonia,0.44
29,,Finland,0.98
30,,France,1.64
31,,Georgia,0.47
32,,Germany,1.61
33,,Greece,0.91
34,,Guatemala,-
35,,Hong Kong,2.40
36,,Hungary,0.68
37,,Iceland,2.47
38,,India,0.34
39,,Indonesia,1.35
40,,Iran,0.60
41,,Iraq,0.65
42,,Ireland,1.53
43,,Israel,1.13
44,,Italy,1.28
45,,Jamaica,-
46,,Japan,3.42
47,,Jordan,0.95
48,,Kazakhstan,0.48
49,,Kenya,1.06
50,,Kosovo (Disputed Territory),0.34
51,,Kuwait,1.10
52,,Latvia,0.54
53,,Lebanon,0.88
54,,Lithuania,0.40
55,,Luxembourg,-
56,,Macedonia,0.53
57,,Malaysia,0.86
58,,Malta,1.42
59,,Mauritius,-
60,,Mexico,0.97
61,,Moldova,0.44
62,,Montenegro,0.53
63,,Morocco,0.44
64,,Nepal,0.45
65,,Netherlands,1.42
66,,New Zealand,2.17
67,,Nigeria,2.22
68,,Norway,2.12
69,,Oman,1.07
70,,Pakistan,0.35
71,,Panama,1.39
72,,Peru,0.72
73,,Philippines,1.56
74,,Poland,0.46
75,,Portugal,0.94
76,,Puerto Rico,2.76
77,,Qatar,1.34
78,,Romania,0.48
79,,Russia,0.56
80,,Saudi Arabia,0.97
81,,Serbia,0.44
82,,Singapore,1.87
83,,Slovakia,0.87
84,,Slovenia,0.79
85,,South Africa,1.15
86,,South Korea,3.30
87,,Spain,1.14
88,,Sri Lanka,0.98
89,,Sweden,1.13
90,,Switzerland,2.52
91,,Taiwan,2.24
92,,Tanzania,0.65
93,,Thailand,1.40
94,,Trinidad And Tobago,-
95,,Tunisia,0.46
96,,Turkey,0.55
97,,Ukraine,0.30
98,,United Arab Emirates,1.14
99,,United Kingdom,1.56
100,,United States,2.43
101,,Uruguay,1.60
102,,Venezuela,0.97
103,,Vietnam,1.21
104,,Zimbabwe,-
