,Rank,City,"International Primary School, Yearly for 1 Child"
0,,Albania,2893.92
1,,Algeria,2843.69
2,,Argentina,5031.37
3,,Armenia,3115.51
4,,Australia,13180.15
5,,Austria,16713.58
6,,Azerbaijan,4237.11
7,,Bahrain,7053.60
8,,Bangladesh,7116.24
9,,Belarus,-
10,,Belgium,15953.87
11,,Bolivia,1618.14
12,,Bosnia And Herzegovina,3908.73
13,,Brazil,8257.36
14,,Bulgaria,4095.12
15,,Cambodia,5860.00
16,,Canada,11146.39
17,,Chile,6708.53
18,,China,20809.78
19,,Colombia,5941.72
20,,Costa Rica,6887.92
21,,Croatia,12723.98
22,,Cyprus,6744.48
23,,Czech Republic,7008.50
24,,Denmark,7946.37
25,,Dominican Republic,-
26,,Ecuador,5386.00
27,,Egypt,2329.14
28,,Estonia,-
29,,Finland,11128.53
30,,France,13552.90
31,,Georgia,3689.06
32,,Germany,15503.56
33,,Greece,7394.76
34,,Guatemala,4088.07
35,,Hong Kong,13822.18
36,,Hungary,10103.71
37,,Iceland,-
38,,India,2628.24
39,,Indonesia,7769.73
40,,Iran,2659.12
41,,Iraq,2661.12
42,,Ireland,7721.06
43,,Israel,11298.97
44,,Italy,11942.08
45,,Jamaica,-
46,,Japan,17992.42
47,,Jordan,5141.73
48,,Kazakhstan,-
49,,Kenya,7725.69
50,,Kosovo (Disputed Territory),2425.74
51,,Kuwait,8211.85
52,,Latvia,12688.46
53,,Lebanon,4895.86
54,,Lithuania,11305.79
55,,Luxembourg,15980.74
56,,Macedonia,3565.11
57,,Malaysia,6023.08
58,,Malta,7613.08
59,,Mauritius,5122.70
60,,Mexico,4241.57
61,,Moldova,2820.20
62,,Montenegro,-
63,,Morocco,3367.02
64,,Nepal,2678.88
65,,Netherlands,6769.67
66,,New Zealand,11521.56
67,,Nigeria,2684.17
68,,Norway,5362.70
69,,Oman,6036.20
70,,Pakistan,1793.11
71,,Panama,6854.78
72,,Peru,7547.94
73,,Philippines,6339.97
74,,Poland,8135.02
75,,Portugal,8769.97
76,,Puerto Rico,7192.00
77,,Qatar,10142.22
78,,Romania,8108.78
79,,Russia,8517.62
80,,Saudi Arabia,6618.06
81,,Serbia,7055.96
82,,Singapore,20052.37
83,,Slovakia,9503.91
84,,Slovenia,-
85,,South Africa,4827.30
86,,South Korea,20829.08
87,,Spain,7328.42
88,,Sri Lanka,-
89,,Sweden,5877.91
90,,Switzerland,24393.72
91,,Taiwan,16858.22
92,,Tanzania,-
93,,Thailand,10914.71
94,,Trinidad And Tobago,-
95,,Tunisia,2127.28
96,,Turkey,8450.41
97,,Ukraine,7155.99
98,,United Arab Emirates,10821.31
99,,United Kingdom,16530.85
100,,United States,15845.46
101,,Uruguay,5950.75
102,,Venezuela,-
103,,Vietnam,12861.71
104,,Zimbabwe,-
