,Rank,City,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)"
0,,Argentina,32.49
1,,Australia,56.79
2,,Austria,28.04
3,,Bangladesh,50.00
4,,Belgium,55.86
5,,Bosnia And Herzegovina,30.72
6,,Brazil,51.75
7,,Bulgaria,13.97
8,,Canada,44.55
9,,Chile,41.22
10,,China,19.94
11,,Colombia,27.94
12,,Costa Rica,45.00
13,,Croatia,27.70
14,,Cyprus,70.05
15,,Czech Republic,26.57
16,,Denmark,31.14
17,,Ecuador,47.00
18,,Egypt,35.48
19,,Estonia,27.31
20,,Finland,33.13
21,,France,43.30
22,,Germany,30.32
23,,Greece,32.56
24,,Hong Kong,25.65
25,,Hungary,26.08
26,,Iceland,35.86
27,,India,22.97
28,,Indonesia,40.55
29,,Iran,34.89
30,,Ireland,46.64
31,,Israel,30.24
32,,Italy,36.06
33,,Japan,49.95
34,,Jordan,46.87
35,,Latvia,19.82
36,,Lebanon,52.50
37,,Lithuania,16.37
38,,Macedonia,19.71
39,,Malaysia,44.59
40,,Malta,24.01
41,,Mexico,39.49
42,,Morocco,28.99
43,,Netherlands,33.00
44,,New Zealand,49.98
45,,Norway,58.86
46,,Pakistan,23.00
47,,Panama,34.99
48,,Peru,32.00
49,,Philippines,26.16
50,,Poland,21.09
51,,Portugal,31.61
52,,Puerto Rico,42.30
53,,Qatar,93.66
54,,Romania,10.26
55,,Russia,16.65
56,,Saudi Arabia,58.45
57,,Serbia,25.81
58,,Singapore,32.26
59,,Slovakia,24.40
60,,Slovenia,30.92
61,,South Africa,64.93
62,,South Korea,22.55
63,,Spain,48.91
64,,Sri Lanka,20.13
65,,Sweden,35.18
66,,Switzerland,57.56
67,,Syria,35.00
68,,Taiwan,18.33
69,,Thailand,22.15
70,,Tunisia,52.00
71,,Turkey,31.58
72,,Ukraine,11.65
73,,United Arab Emirates,77.17
74,,United Kingdom,29.56
75,,United States,42.34
76,,Uruguay,56.41
77,,Venezuela,41.98
78,,Vietnam,13.18
