,Rank,City,Domestic Beer (0.5 liter bottle)
0,,Albania,0.80
1,,Algeria,1.15
2,,Argentina,1.78
3,,Armenia,0.90
4,,Australia,3.89
5,,Austria,1.16
6,,Azerbaijan,0.93
7,,Bahrain,5.11
8,,Bangladesh,2.17
9,,Belarus,0.82
10,,Belgium,1.54
11,,Bolivia,2.18
12,,Bosnia And Herzegovina,0.69
13,,Brazil,1.33
14,,Bulgaria,0.69
15,,Cambodia,1.04
16,,Canada,1.98
17,,Chile,1.27
18,,China,0.80
19,,Colombia,0.80
20,,Costa Rica,1.73
21,,Croatia,1.14
22,,Cyprus,1.16
23,,Czech Republic,0.65
24,,Denmark,1.96
25,,Dominican Republic,1.98
26,,Ecuador,1.20
27,,Egypt,1.53
28,,El Salvador,1.20
29,,Estonia,1.12
30,,Finland,2.64
31,,France,1.87
32,,Georgia,0.92
33,,Germany,0.98
34,,Greece,1.35
35,,Guatemala,1.28
36,,Hong Kong,1.62
37,,Hungary,0.83
38,,Iceland,2.86
39,,India,1.49
40,,Indonesia,2.13
41,,Iran,0.82
42,,Iraq,1.16
43,,Ireland,2.56
44,,Israel,2.23
45,,Italy,1.39
46,,Jamaica,-
47,,Japan,2.76
48,,Jordan,4.90
49,,Kazakhstan,0.64
50,,Kenya,1.67
51,,Kosovo (Disputed Territory),0.74
52,,Kuwait,1.20
53,,Latvia,1.28
54,,Lebanon,1.19
55,,Lithuania,1.04
56,,Luxembourg,1.58
57,,Macedonia,0.81
58,,Malaysia,2.51
59,,Malta,1.41
60,,Mauritius,-
61,,Mexico,0.99
62,,Moldova,0.68
63,,Montenegro,1.02
64,,Morocco,1.93
65,,Nepal,2.11
66,,Netherlands,1.21
67,,New Zealand,3.30
68,,Nigeria,1.23
69,,Norway,3.51
70,,Oman,5.19
71,,Pakistan,2.63
72,,Panama,0.72
73,,Peru,1.36
74,,Philippines,0.91
75,,Poland,0.77
76,,Portugal,1.03
77,,Puerto Rico,1.66
78,,Qatar,7.10
79,,Romania,0.77
80,,Russia,0.89
81,,Saudi Arabia,1.06
82,,Serbia,0.61
83,,Singapore,4.23
84,,Slovakia,0.85
85,,Slovenia,1.17
86,,South Africa,1.23
87,,South Korea,1.84
88,,Spain,0.91
89,,Sri Lanka,2.04
90,,Sweden,2.02
91,,Switzerland,1.86
92,,Taiwan,1.41
93,,Thailand,1.55
94,,Trinidad And Tobago,1.64
95,,Tunisia,0.90
96,,Turkey,2.17
97,,Ukraine,0.51
98,,United Arab Emirates,8.30
99,,United Kingdom,2.19
100,,United States,1.93
101,,Uruguay,1.70
102,,Venezuela,0.86
103,,Vietnam,0.64
104,,Zimbabwe,1.12
