,Rank,City,Imported Beer (0.33 liter bottle)
0,,Argentina,3.50
1,,Australia,7.45
2,,Austria,4.35
3,,Bangladesh,2.10
4,,Belgium,4.35
5,,Bosnia And Herzegovina,2.17
6,,Brazil,4.13
7,,Bulgaria,2.21
8,,Canada,6.19
9,,Chile,3.25
10,,China,3.09
11,,Colombia,3.86
12,,Costa Rica,3.00
13,,Croatia,2.92
14,,Cyprus,7.25
15,,Czech Republic,2.06
16,,Denmark,7.74
17,,Ecuador,4.00
18,,Egypt,3.70
19,,Estonia,4.06
20,,Finland,8.70
21,,France,5.80
22,,Germany,4.35
23,,Greece,7.25
24,,Hong Kong,3.86
25,,Hungary,2.17
26,,Iceland,7.25
27,,India,2.67
28,,Indonesia,3.51
29,,Iran,3.00
30,,Ireland,6.52
31,,Israel,7.00
32,,Italy,5.51
33,,Japan,9.21
34,,Jordan,3.45
35,,Latvia,2.78
36,,Lebanon,2.75
37,,Lithuania,2.10
38,,Macedonia,2.17
39,,Malaysia,4.00
40,,Malta,2.90
41,,Mexico,2.59
42,,Morocco,2.17
43,,Netherlands,4.35
44,,New Zealand,6.20
45,,Norway,11.19
46,,Pakistan,5.53
47,,Panama,2.12
48,,Peru,2.50
49,,Philippines,1.74
50,,Poland,2.19
51,,Portugal,2.90
52,,Puerto Rico,3.00
53,,Qatar,9.77
54,,Romania,2.10
55,,Russia,3.58
56,,Saudi Arabia,1.22
57,,Serbia,2.32
58,,Singapore,5.69
59,,Slovakia,2.03
60,,Slovenia,3.99
61,,South Africa,2.65
62,,South Korea,3.73
63,,Spain,4.35
64,,Sri Lanka,6.33
65,,Sweden,7.97
66,,Switzerland,5.88
67,,Syria,3.00
68,,Taiwan,1.80
69,,Thailand,2.32
70,,Tunisia,2.50
71,,Turkey,3.77
72,,Ukraine,2.00
73,,United Arab Emirates,8.00
74,,United Kingdom,4.92
75,,United States,4.25
76,,Uruguay,3.50
77,,Venezuela,3.50
78,,Vietnam,2.00
