,Rank,City,Oranges (1kg)
0,,Albania,1.21
1,,Algeria,1.28
2,,Argentina,1.56
3,,Armenia,1.88
4,,Australia,3.57
5,,Austria,2.86
6,,Azerbaijan,2.50
7,,Bahrain,1.89
8,,Bangladesh,2.41
9,,Belarus,2.09
10,,Belgium,2.78
11,,Bosnia And Herzegovina,1.34
12,,Brazil,1.40
13,,Bulgaria,1.45
14,,Cambodia,-
15,,Canada,3.22
16,,Chile,1.52
17,,China,1.64
18,,Colombia,1.73
19,,Costa Rica,1.53
20,,Croatia,1.70
21,,Cyprus,1.57
22,,Czech Republic,1.67
23,,Denmark,3.44
24,,Dominican Republic,1.87
25,,Ecuador,1.45
26,,Egypt,0.62
27,,Estonia,2.10
28,,Finland,2.43
29,,France,3.15
30,,Georgia,1.36
31,,Germany,3.10
32,,Greece,1.20
33,,Hong Kong,2.92
34,,Hungary,1.53
35,,Iceland,2.65
36,,India,1.23
37,,Indonesia,2.34
38,,Iran,1.13
39,,Iraq,1.40
40,,Ireland,2.81
41,,Israel,1.78
42,,Italy,2.17
43,,Jamaica,-
44,,Japan,5.41
45,,Jordan,1.78
46,,Kazakhstan,2.06
47,,Kenya,2.66
48,,Kuwait,1.92
49,,Latvia,1.84
50,,Lebanon,1.12
51,,Lithuania,1.72
52,,Luxembourg,-
53,,Macedonia,1.14
54,,Malaysia,2.47
55,,Malta,2.18
56,,Mexico,1.10
57,,Morocco,0.78
58,,Nepal,1.13
59,,Netherlands,2.95
60,,New Zealand,3.06
61,,Nigeria,1.46
62,,Norway,3.78
63,,Oman,1.57
64,,Pakistan,0.82
65,,Panama,-
66,,Peru,1.58
67,,Philippines,2.63
68,,Poland,1.42
69,,Portugal,1.06
70,,Puerto Rico,3.94
71,,Qatar,1.90
72,,Romania,1.37
73,,Russia,1.83
74,,Saudi Arabia,1.42
75,,Serbia,1.28
76,,Singapore,2.76
77,,Slovakia,1.87
78,,Slovenia,2.05
79,,South Africa,1.52
80,,South Korea,4.87
81,,Spain,1.78
82,,Sri Lanka,2.92
83,,Sweden,3.01
84,,Switzerland,3.60
85,,Taiwan,1.92
86,,Thailand,2.54
87,,Trinidad And Tobago,2.08
88,,Tunisia,1.01
89,,Turkey,1.22
90,,Ukraine,1.43
91,,United Arab Emirates,2.39
92,,United Kingdom,3.06
93,,United States,4.11
94,,Uruguay,1.59
95,,Venezuela,3.75
96,,Vietnam,2.24
