,Rank,City,Imported Beer (0.33 liter bottle)
0,,Albania,1.33
1,,Algeria,2.30
2,,Argentina,2.76
3,,Armenia,1.37
4,,Australia,5.16
5,,Austria,1.54
6,,Azerbaijan,3.01
7,,Bahrain,4.02
8,,Bangladesh,5.16
9,,Belarus,2.16
10,,Belgium,1.83
11,,Bosnia And Herzegovina,1.24
12,,Brazil,3.44
13,,Bulgaria,1.33
14,,Cambodia,1.67
15,,Canada,2.26
16,,Chile,2.23
17,,China,2.18
18,,Colombia,2.57
19,,Costa Rica,2.52
20,,Croatia,1.73
21,,Cyprus,1.89
22,,Czech Republic,1.28
23,,Denmark,2.76
24,,Dominican Republic,3.29
25,,Ecuador,2.42
26,,Egypt,2.55
27,,Estonia,1.79
28,,Finland,3.48
29,,France,1.87
30,,Georgia,1.50
31,,Germany,1.36
32,,Greece,1.78
33,,Hong Kong,2.80
34,,Hungary,1.42
35,,Iceland,2.86
36,,India,2.32
37,,Indonesia,3.06
38,,Iran,5.92
39,,Iraq,2.02
40,,Ireland,3.35
41,,Israel,3.68
42,,Italy,1.89
43,,Jamaica,-
44,,Japan,3.40
45,,Jordan,6.50
46,,Kazakhstan,1.43
47,,Kenya,2.26
48,,Kuwait,-
49,,Latvia,1.48
50,,Lebanon,2.17
51,,Lithuania,1.41
52,,Luxembourg,-
53,,Macedonia,1.29
54,,Malaysia,3.65
55,,Malta,2.15
56,,Mexico,2.10
57,,Morocco,2.83
58,,Nepal,2.10
59,,Netherlands,1.67
60,,New Zealand,2.91
61,,Nigeria,2.71
62,,Norway,5.57
63,,Oman,2.51
64,,Pakistan,7.05
65,,Panama,-
66,,Peru,2.14
67,,Philippines,1.88
68,,Poland,1.28
69,,Portugal,1.63
70,,Puerto Rico,3.11
71,,Qatar,6.66
72,,Romania,1.44
73,,Russia,2.51
74,,Saudi Arabia,0.88
75,,Serbia,1.12
76,,Singapore,4.64
77,,Slovakia,1.37
78,,Slovenia,1.76
79,,South Africa,1.72
80,,South Korea,3.63
81,,Spain,1.60
82,,Sri Lanka,1.70
83,,Sweden,2.40
84,,Switzerland,2.32
85,,Taiwan,2.52
86,,Thailand,2.50
87,,Trinidad And Tobago,1.98
88,,Tunisia,1.06
89,,Turkey,2.86
90,,Ukraine,1.37
91,,United Arab Emirates,5.51
92,,United Kingdom,2.10
93,,United States,2.21
94,,Uruguay,1.96
95,,Venezuela,5.54
96,,Vietnam,1.34
