,Rank,City,1 Pair of Jeans (Levis 501 Or Similar)
0,,Albania,52.16
1,,Algeria,33.44
2,,Argentina,73.85
3,,Armenia,53.01
4,,Australia,74.49
5,,Austria,88.83
6,,Azerbaijan,39.66
7,,Bahamas,73.00
8,,Bahrain,44.32
9,,Bangladesh,25.46
10,,Belarus,69.25
11,,Belgium,104.31
12,,Belize,36.39
13,,Bolivia,54.86
14,,Bosnia And Herzegovina,67.84
15,,Brazil,52.90
16,,Bulgaria,54.93
17,,Cambodia,26.40
18,,Canada,49.56
19,,Chile,56.64
20,,China,70.02
21,,Colombia,59.52
22,,Costa Rica,67.29
23,,Croatia,87.11
24,,Cyprus,91.40
25,,Czech Republic,71.46
26,,Denmark,110.57
27,,Dominican Republic,56.72
28,,Ecuador,71.23
29,,Egypt,42.24
30,,El Salvador,46.50
31,,Estonia,85.63
32,,Fiji,26.29
33,,Finland,98.42
34,,France,94.36
35,,Georgia,54.94
36,,Germany,88.52
37,,Ghana,-
38,,Greece,83.86
39,,Guatemala,54.80
40,,Hong Kong,80.22
41,,Hungary,68.98
42,,Iceland,130.73
43,,India,34.64
44,,Indonesia,38.28
45,,Iran,46.15
46,,Iraq,28.80
47,,Ireland,88.76
48,,Israel,86.07
49,,Italy,90.96
50,,Jamaica,38.88
51,,Japan,61.05
52,,Jordan,67.49
53,,Kazakhstan,53.05
54,,Kenya,28.45
55,,Kosovo (Disputed Territory),24.82
56,,Kuwait,53.90
57,,Latvia,69.46
58,,Lebanon,70.51
59,,Lithuania,73.57
60,,Luxembourg,94.72
61,,Macedonia,45.51
62,,Malaysia,59.57
63,,Malta,81.74
64,,Mauritius,54.03
65,,Mexico,40.35
66,,Moldova,64.10
67,,Montenegro,73.72
68,,Morocco,33.53
69,,Namibia,56.25
70,,Nepal,27.02
71,,Netherlands,98.20
72,,New Zealand,75.23
73,,Nigeria,19.88
74,,Norway,103.38
75,,Oman,46.43
76,,Pakistan,21.30
77,,Panama,54.16
78,,Peru,44.75
79,,Philippines,39.00
80,,Poland,67.26
81,,Portugal,90.45
82,,Puerto Rico,41.56
83,,Qatar,60.29
84,,Romania,58.60
85,,Russia,76.24
86,,Saudi Arabia,46.61
87,,Serbia,66.42
88,,Singapore,69.53
89,,Slovakia,66.24
90,,Slovenia,79.08
91,,South Africa,58.02
92,,South Korea,62.98
93,,Spain,81.29
94,,Sri Lanka,31.34
95,,Sweden,99.55
96,,Switzerland,108.53
97,,Taiwan,67.82
98,,Tanzania,26.84
99,,Thailand,56.88
100,,Trinidad And Tobago,55.17
101,,Tunisia,45.44
102,,Turkey,40.19
103,,Uganda,17.23
104,,Ukraine,61.02
105,,United Arab Emirates,56.89
106,,United Kingdom,75.45
107,,United States,44.11
108,,Uruguay,86.05
109,,Uzbekistan,48.71
110,,Venezuela,44.15
111,,Vietnam,40.05
112,,Zimbabwe,39.38
