,Rank,City,Oranges (1kg)
0,,Albania,0.93
1,,Algeria,1.29
2,,Argentina,1.64
3,,Armenia,1.40
4,,Australia,2.54
5,,Austria,2.67
6,,Azerbaijan,1.48
7,,Bahrain,2.00
8,,Bangladesh,1.76
9,,Belarus,1.31
10,,Belgium,2.15
11,,Bolivia,-
12,,Bosnia And Herzegovina,1.20
13,,Brazil,1.02
14,,Bulgaria,1.14
15,,Cambodia,3.07
16,,Canada,2.96
17,,Chile,1.11
18,,China,1.57
19,,Colombia,0.92
20,,Costa Rica,2.23
21,,Croatia,1.46
22,,Cyprus,1.43
23,,Czech Republic,1.39
24,,Denmark,2.73
25,,Dominican Republic,2.64
26,,Ecuador,1.66
27,,Egypt,0.51
28,,El Salvador,-
29,,Estonia,1.52
30,,Finland,1.90
31,,France,2.51
32,,Georgia,1.42
33,,Germany,2.45
34,,Greece,1.03
35,,Guatemala,-
36,,Hong Kong,2.89
37,,Hungary,1.31
38,,Iceland,2.59
39,,India,0.95
40,,Indonesia,2.10
41,,Iran,1.23
42,,Iraq,1.22
43,,Ireland,2.29
44,,Israel,1.44
45,,Italy,1.77
46,,Jamaica,-
47,,Japan,5.84
48,,Jordan,1.50
49,,Kazakhstan,1.52
50,,Kenya,2.02
51,,Kosovo (Disputed Territory),1.02
52,,Kuwait,1.84
53,,Latvia,1.51
54,,Lebanon,1.13
55,,Lithuania,1.56
56,,Luxembourg,3.00
57,,Macedonia,0.88
58,,Malaysia,2.26
59,,Malta,2.45
60,,Mauritius,-
61,,Mexico,0.74
62,,Moldova,1.15
63,,Montenegro,0.98
64,,Morocco,0.61
65,,Nepal,0.92
66,,Netherlands,2.43
67,,New Zealand,2.59
68,,Nigeria,2.13
69,,Norway,2.78
70,,Oman,1.98
71,,Pakistan,0.85
72,,Panama,3.32
73,,Peru,1.09
74,,Philippines,1.98
75,,Poland,1.17
76,,Portugal,1.24
77,,Puerto Rico,2.77
78,,Qatar,1.56
79,,Romania,1.09
80,,Russia,1.29
81,,Saudi Arabia,1.35
82,,Serbia,0.95
83,,Singapore,3.05
84,,Slovakia,1.57
85,,Slovenia,1.52
86,,South Africa,1.31
87,,South Korea,4.55
88,,Spain,1.33
89,,Sri Lanka,2.03
90,,Sweden,2.57
91,,Switzerland,3.35
92,,Taiwan,2.45
93,,Thailand,1.94
94,,Trinidad And Tobago,1.79
95,,Tunisia,0.75
96,,Turkey,0.91
97,,Ukraine,1.21
98,,United Arab Emirates,1.86
99,,United Kingdom,2.47
100,,United States,3.83
101,,Uruguay,1.33
102,,Venezuela,0.98
103,,Vietnam,1.88
104,,Zimbabwe,1.26
