,Rank,City,"1 Summer Dress in a Chain Store (Zara, H&M, ...)"
0,,Albania,42.05
1,,Argentina,69.32
2,,Australia,71.97
3,,Austria,41.77
4,,Bahrain,40.54
5,,Bangladesh,31.93
6,,Belarus,54.94
7,,Belgium,64.81
8,,Bosnia And Herzegovina,28.27
9,,Brazil,70.21
10,,Bulgaria,38.73
11,,Cambodia,13.33
12,,Canada,41.14
13,,Chile,54.95
14,,China,61.97
15,,Colombia,70.80
16,,Costa Rica,41.67
17,,Croatia,42.95
18,,Cyprus,49.23
19,,Czech Republic,43.56
20,,Denmark,56.37
21,,Dominican Republic,87.60
22,,Ecuador,39.50
23,,Egypt,74.63
24,,Estonia,63.26
25,,Finland,44.23
26,,France,43.87
27,,Georgia,140.00
28,,Germany,41.02
29,,Greece,42.88
30,,Hong Kong,50.21
31,,Hungary,34.08
32,,Iceland,92.94
33,,India,35.24
34,,Indonesia,42.43
35,,Iran,63.77
36,,Iraq,35.00
37,,Ireland,46.40
38,,Israel,63.55
39,,Italy,46.21
40,,Japan,84.67
41,,Jordan,80.09
42,,Kazakhstan,63.86
43,,Kenya,26.38
44,,Kuwait,59.50
45,,Latvia,53.17
46,,Lebanon,64.80
47,,Lithuania,56.12
48,,Luxembourg,42.59
49,,Macedonia,43.88
50,,Malaysia,55.66
51,,Malta,55.56
52,,Mauritius,40.33
53,,Mexico,43.64
54,,Morocco,41.88
55,,Nepal,32.05
56,,Netherlands,48.54
57,,New Zealand,60.90
58,,Nigeria,105.00
59,,Norway,56.01
60,,Oman,77.67
61,,Pakistan,31.78
62,,Peru,41.77
63,,Philippines,38.98
64,,Poland,41.93
65,,Portugal,40.69
66,,Puerto Rico,48.11
67,,Qatar,45.24
68,,Romania,41.35
69,,Russia,63.74
70,,Saudi Arabia,59.21
71,,Serbia,41.34
72,,Singapore,51.62
73,,Slovakia,37.04
74,,Slovenia,37.96
75,,South Africa,42.35
76,,South Korea,56.63
77,,Spain,37.88
78,,Sri Lanka,22.84
79,,Sweden,53.87
80,,Switzerland,48.60
81,,Taiwan,41.74
82,,Tanzania,35.95
83,,Thailand,34.38
84,,Tunisia,62.43
85,,Turkey,42.58
86,,Ukraine,67.11
87,,United Arab Emirates,54.13
88,,United Kingdom,49.57
89,,United States,38.39
90,,Uruguay,89.44
91,,Venezuela,94.05
92,,Vietnam,23.94
