,Rank,City,Cigarettes 20 Pack (Marlboro)
0,,Albania,2.86
1,,Algeria,2.10
2,,Argentina,2.46
3,,Armenia,1.65
4,,Australia,24.20
5,,Austria,6.12
6,,Azerbaijan,2.94
7,,Bahrain,6.11
8,,Bangladesh,3.30
9,,Belarus,1.45
10,,Belgium,7.74
11,,Bolivia,2.89
12,,Bosnia And Herzegovina,3.41
13,,Brazil,1.87
14,,Bulgaria,3.41
15,,Cambodia,1.55
16,,Canada,10.93
17,,Chile,5.01
18,,China,2.80
19,,Colombia,2.16
20,,Costa Rica,4.21
21,,Croatia,4.69
22,,Cyprus,5.51
23,,Czech Republic,4.61
24,,Denmark,8.21
25,,Dominican Republic,-
26,,Ecuador,5.00
27,,Egypt,2.72
28,,Estonia,5.29
29,,Finland,9.11
30,,France,11.13
31,,Georgia,2.04
32,,Germany,7.79
33,,Ghana,2.67
34,,Greece,5.12
35,,Guatemala,3.25
36,,Hong Kong,7.74
37,,Hungary,4.82
38,,Iceland,11.80
39,,India,4.38
40,,Indonesia,2.07
41,,Iran,2.50
42,,Iraq,2.09
43,,Ireland,15.25
44,,Israel,9.99
45,,Italy,6.35
46,,Japan,4.74
47,,Jordan,3.53
48,,Kazakhstan,1.21
49,,Kenya,2.81
50,,Kosovo (Disputed Territory),2.78
51,,Kuwait,3.25
52,,Latvia,4.45
53,,Lebanon,5.12
54,,Lithuania,4.45
55,,Luxembourg,5.93
56,,Malaysia,4.12
57,,Malta,6.57
58,,Mauritius,-
59,,Mexico,2.86
60,,Moldova,2.00
61,,Montenegro,3.67
62,,Morocco,3.57
63,,Nepal,2.48
64,,Netherlands,8.91
65,,New Zealand,21.83
66,,Nigeria,1.03
67,,North Macedonia,2.71
68,,Norway,13.96
69,,Oman,5.72
70,,Pakistan,1.54
71,,Panama,6.00
72,,Peru,5.23
73,,Philippines,2.39
74,,Poland,4.52
75,,Portugal,5.62
76,,Puerto Rico,10.12
77,,Qatar,6.27
78,,Romania,4.58
79,,Russia,2.28
80,,Saudi Arabia,7.46
81,,Serbia,3.30
82,,Singapore,9.98
83,,Slovakia,4.45
84,,Slovenia,4.68
85,,South Africa,2.58
86,,South Korea,3.67
87,,Spain,5.57
88,,Sri Lanka,7.51
89,,Sweden,7.24
90,,Switzerland,9.00
91,,Syria,2.17
92,,Taiwan,4.01
93,,Tanzania,1.73
94,,Thailand,4.41
95,,Trinidad And Tobago,-
96,,Tunisia,2.44
97,,Turkey,2.64
98,,Uganda,-
99,,Ukraine,2.01
100,,United Arab Emirates,5.99
101,,United Kingdom,14.49
102,,United States,8.00
103,,Uruguay,3.81
104,,Uzbekistan,-
105,,Venezuela,3.00
106,,Vietnam,1.27
