,Rank,City,"Milk (regular), (1 liter)"
0,,Albania,1.22
1,,Algeria,0.67
2,,Argentina,0.90
3,,Armenia,0.93
4,,Australia,1.10
5,,Austria,1.23
6,,Azerbaijan,1.00
7,,Bahrain,1.40
8,,Bangladesh,0.86
9,,Belarus,0.71
10,,Belgium,1.04
11,,Bolivia,0.95
12,,Bosnia And Herzegovina,0.79
13,,Brazil,0.69
14,,Bulgaria,1.19
15,,Cambodia,2.08
16,,Canada,1.82
17,,Chile,1.02
18,,China,1.90
19,,Colombia,0.72
20,,Costa Rica,1.49
21,,Croatia,1.09
22,,Cyprus,1.52
23,,Czech Republic,0.81
24,,Denmark,1.43
25,,Dominican Republic,1.07
26,,Ecuador,1.06
27,,Egypt,0.95
28,,Estonia,0.80
29,,Finland,1.04
30,,France,1.11
31,,Georgia,1.11
32,,Germany,1.01
33,,Ghana,1.70
34,,Greece,1.33
35,,Guatemala,1.64
36,,Hong Kong,3.01
37,,Hungary,0.79
38,,Iceland,1.31
39,,India,0.68
40,,Indonesia,1.35
41,,Iran,1.22
42,,Iraq,1.22
43,,Ireland,1.12
44,,Israel,1.69
45,,Italy,1.32
46,,Japan,1.87
47,,Jordan,1.47
48,,Kazakhstan,0.79
49,,Kenya,0.90
50,,Kosovo (Disputed Territory),0.95
51,,Kuwait,1.36
52,,Latvia,1.03
53,,Lebanon,3.75
54,,Lithuania,1.03
55,,Luxembourg,1.42
56,,Malaysia,1.58
57,,Malta,1.11
58,,Mauritius,1.06
59,,Mexico,0.93
60,,Moldova,0.65
61,,Montenegro,0.91
62,,Morocco,0.71
63,,Nepal,0.72
64,,Netherlands,1.11
65,,New Zealand,1.65
66,,Nigeria,2.48
67,,North Macedonia,0.91
68,,Norway,1.92
69,,Oman,1.62
70,,Pakistan,0.69
71,,Panama,1.52
72,,Peru,1.28
73,,Philippines,1.78
74,,Poland,0.69
75,,Portugal,0.70
76,,Puerto Rico,1.69
77,,Qatar,1.96
78,,Romania,1.11
79,,Russia,0.92
80,,Saudi Arabia,1.35
81,,Serbia,0.87
82,,Singapore,2.18
83,,Slovakia,0.84
84,,Slovenia,1.05
85,,South Africa,0.90
86,,South Korea,2.01
87,,Spain,0.92
88,,Sri Lanka,1.28
89,,Sweden,1.23
90,,Switzerland,1.66
91,,Syria,1.25
92,,Taiwan,3.13
93,,Tanzania,1.40
94,,Thailand,1.75
95,,Trinidad And Tobago,1.90
96,,Tunisia,0.42
97,,Turkey,0.75
98,,Uganda,0.57
99,,Ukraine,0.96
100,,United Arab Emirates,1.60
101,,United Kingdom,1.13
102,,United States,0.86
103,,Uruguay,0.81
104,,Uzbekistan,0.83
105,,Venezuela,1.69
106,,Vietnam,1.42
